Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Over,Points_Under,Points_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Immanuel Quickley,,104,5.5,,-127,28.5,,-127,28.5,,-111,3.5,,-125,2.5
RJ Barrett,,-119,3.5,,-104,29.5,,-104,29.5,,106,5.5,,159,0.5
Gary Trent Jr.,,-106,1.5,,-106,15.5,,-106,15.5,,-174,2.5,,-174,2.5
Andrew Nembhard,,-142,4.5,,-131,17.5,,-131,17.5,,-113,2.5,,123,0.5
Pascal Siakam,,-163,3.5,,-113,31.5,,-113,31.5,,-127,6.5,,-169,1.5
Bennedict Mathurin,,123,1.5,,-115,22.5,,-115,22.5,,-101,4.5,,-145,1.5
Scottie Barnes,,-154,7.5,,-117,35.5,,-117,35.5,,-117,7.5,,172,0.5
Tyrese Haliburton,,-108,11.5,,-115,37.5,,-115,37.5,,102,3.5,,-157,3.5
Myles Turner,,146,0.5,,-117,25.5,,-117,25.5,,-121,7.5,,-121,1.5
Jakob Poeltl,,-163,2.5,,-108,22.5,,-108,22.5,,-104,8.5,,,
Jaden Ivey,,-101,3.5,,-115,21.5,,-115,21.5,,-157,3.5,,-135,1.5
Jalen Brunson,,-115,7.5,,-121,42.5,,-121,42.5,,-115,3.5,,-145,2.5
Cade Cunningham,,-142,7.5,,-103,32.5,,-103,32.5,,114,3.5,,104,1.5
Precious Achiuwa,,-131,1.5,,-108,23.5,,-108,23.5,,-111,9.5,,-145,0.5
Jalen Duren,,-184,2.5,,-127,26.5,,-127,26.5,,-111,10.5,,,
Ausar Thompson,,102,1.5,,-113,16.5,,-113,16.5,,-104,5.5,,-374,0.5
Simone Fontecchio,,-121,1.5,,-117,17.5,,-117,17.5,,-157,3.5,,-154,2.5
Josh Hart,,102,4.5,,-101,25.5,,-101,25.5,,-103,8.5,,-142,1.5
Donte DiVincenzo,,-139,3.5,,-119,25.5,,-119,25.5,,108,3.5,,-169,4.5
Nic Claxton,,-189,2.5,,-121,25.5,,-121,25.5,,-131,11.5,,,
Mikal Bridges,,-113,3.5,,-117,29.5,,-117,29.5,,108,4.5,,106,2.5
Luke Kennard,,104,2.5,,-127,17.5,,-127,17.5,,123,2.5,,106,2.5
Cam Thomas,,133,2.5,,-129,26.5,,-129,26.5,,-163,3.5,,123,1.5
Jaren Jackson Jr.,,-163,3.5,,-119,32.5,,-119,32.5,,106,4.5,,-189,2.5
Vince Williams Jr.,,-125,6.5,,-127,26.5,,-127,26.5,,-101,6.5,,-169,1.5
Santi Aldama,,118,2.5,,-125,18.5,,-125,18.5,,100,5.5,,-109,1.5
Dorian Finney-Smith,,-163,1.5,,-121,14.5,,-121,14.5,,104,4.5,,-121,1.5
Keegan Murray,,-117,1.5,,-131,21.5,,-131,21.5,,-135,5.5,,-157,2.5
De'Aaron Fox,,116,4.5,,-103,33.5,,-103,33.5,,-139,4.5,,-179,2.5
Bam Adebayo,,108,3.5,,-125,36.5,,-125,36.5,,-117,10.5,,,
Kevin Huerter,,-174,2.5,,-106,16.5,,-106,16.5,,-111,3.5,,-163,2.5
Harrison Barnes,,165,0.5,,-119,16.5,,-119,16.5,,-160,3.5,,116,1.5
Domantas Sabonis,,-145,9.5,,-111,43.5,,-111,43.5,,-129,14.5,,-224,0.5
Tyler Herro,,-121,4.5,,-121,31.5,,-121,31.5,,-115,5.5,,-129,2.5
