Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,Points_Rebounds_Assists_Over,Points_Rebounds_Assists_Under,Points_Rebounds_Assists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Franz Wagner,,105,4.5,,-116,22.5,,-126,34.5,,-134,6.5,,107,1.5
Dennis Schroder,,-107,5.5,,-120,13.5,,-132,22.5,,-124,2.5,,-154,1.5
Caleb Houstan,,-232,1.5,,-116,7.5,,-109,11.5,,-172,3.5,,-192,2.5
Nic Claxton,,-172,2.5,,-112,11.5,,-114,24.5,,-124,10.5,,,
Dennis Smith Jr.,,-142,3.5,,,,,-112,12.5,,,,,-199,0.5
Mikal Bridges,,-114,3.5,,-126,20.5,,-122,28.5,,-160,4.5,,-116,2.5
Cole Anthony,,-130,3.5,,-120,13.5,,-110,21.5,,-130,4.5,,-242,1.5
Dorian Finney-Smith,,-126,1.5,,-138,8.5,,-116,14.5,,-106,4.5,,-134,1.5
Cameron Johnson,,-160,2.5,,-110,13.5,,-114,20.5,,-145,4.5,,-126,2.5
Gary Harris,,-177,2.5,,-107,7.5,,-120,12.5,,-160,2.5,,-142,1.5
Jalen Suggs,,-134,3.5,,-126,13.5,,-124,21.5,,-151,4.5,,-202,2.5
Wendell Carter Jr.,,-120,1.5,,-122,13.5,,-120,24.5,,-145,9.5,,-222,1.5
Moritz Wagner,,,,,-130,10.5,,-126,16.5,,101,4.5,,-204,0.5
Lonnie Walker IV,,,,,-126,10.5,,-110,13.5,,,,,101,1.5
Day'Ron Sharpe,,,,,,,,-120,14.5,,-151,6.5,,,
Anthony Black,,,,,,,,,,,,,,-172,0.5
Joe Ingles,,,,,,,,,,,,,,-242,1.5
Caris LeVert,,-154,4.5,,-134,11.5,,-118,19.5,,105,3.5,,-192,1.5
Jarrett Allen,,-172,2.5,,-132,17.5,,-124,30.5,,-104,10.5,,,
