Player,Assists_Over,Assists_Under,Assists_Line,Points_Over,Points_Under,Points_Line,PointsReboundsAssists_Over,PointsReboundsAssists_Under,PointsReboundsAssists_Line,Rebounds_Over,Rebounds_Under,Rebounds_Line,Threes_Over,Threes_Under,Threes_Line
Tobias Harris,,128,2.5,-119,,16.5,,-116,26.5,,-109,6.5,130,,1.5
Tyrese Maxey,,122,4.5,,-120,26.5,,-115,34.5,,-118,3.5,,111,2.5
Isaiah Hartenstein,,-179,2.5,,-111,6.5,,-130,17.5,-143,,7.5,,,
Josh Hart,,-115,4.5,-130,,11.5,-108,,26.5,,-125,9.5,,-141,1.5
Donte DiVincenzo,,127,2.5,,-103,17.5,,-110,25.5,,104,4.5,,110,3.5
Kyle Lowry,-108,,4.5,,-125,7.5,,-128,15.5,,-175,3.5,106,,1.5
Jalen Brunson,,-154,7.5,,-118,28.5,-103,,39.5,-111,,3.5,,-125,2.5
Mohamed Bamba,,,,,-149,4.5,-130,,9.5,-135,,4.5,,-169,0.5
Kelly Oubre Jr,,,,103,,15.5,,-125,22.5,-149,,4.5,117,,1.5
Buddy Hield,,,,-130,,10.5,,,,,,,124,,2.5
Shai Gilgeous-Alexander,,-143,6.5,,-125,34.5,,-105,44.5,,-111,5.5,,-141,1.5
Josh Giddey,-105,,4.5,-114,,11.5,-114,,22.5,,-137,6.5,-179,,0.5
Chet Holmgren,-122,,2.5,,-105,15.5,,-118,27.5,,-133,8.5,110,,1.5
Pascal Siakam,-120,,3.5,-109,,20.5,,-120,31.5,,-143,7.5,-250,,0.5
Andrew Nembhard,,-154,3.5,,-128,8.5,,-132,14.5,,-120,2.5,,131,0.5
Tyrese Haliburton,,-123,10.5,,-130,19.5,,-119,34.5,,121,3.5,,103,2.5
T.J. McConnell,113,,5.5,,-118,9.5,-130,,17.5,,-169,3.5,,,
Jalen Williams,100,,4.5,-118,,19.5,-116,,28.5,,-159,4.5,,-143,1.5
Myles Turner,,,,,-109,16.5,,-125,25.5,,104,7.5,,-149,1.5
Luguentz Dort,,,,,-135,11.5,,-115,16.5,,-116,3.5,-200,,1.5
Aaron Nesmith,,,,100,,13.5,-130,,18.5,-108,,4.5,-172,,1.5
Obi Toppin,,,,-118,,7.5,,-115,12.5,-123,,3.5,,-244,1.5
Jalen Smith,,,,,-120,8.5,,-118,14.5,,113,4.5,,112,0.5
Tyus Jones,-110,,8.5,-115,,11.5,,-110,23.5,,-127,3.5,,-103,1.5
Kyle Kuzma,,115,3.5,,-123,24.5,-108,,36.5,-108,,8.5,,-147,2.5
Deni Avdija,,-154,3.5,,-102,15.5,-125,,28.5,-108,,9.5,,-175,1.5
Santi Aldama,113,,3.5,,-123,15.5,,-109,25.5,,111,6.5,,130,1.5
Luke Kennard,,-167,4.5,,-115,13.5,-118,,20.5,,105,2.5,-135,,2.5
Jordan Poole,-106,,4.5,,-120,18.5,,-111,25.5,-119,,3.5,-120,,2.5
Corey Kispert,-135,,2.5,-109,,15.5,,-127,23.5,,-115,4.5,-143,,2.5
Bilal Coulibaly,,,,,-120,9.5,,-125,16.5,-141,,4.5,,-233,1.5
Jeremy Sochan,,-143,2.5,,-111,12.5,,-120,22.5,-145,,6.5,,136,0.5
Devin Vassell,-115,,4.5,,-119,20.5,,-120,30.5,,120,4.5,,-137,2.5
Victor Wembanyama,,-122,3.5,-103,,22.5,,-132,37.5,,-103,11.5,-169,,1.5
Tre Jones,,-111,6.5,,-103,8.5,,-110,19.5,,107,3.5,,-132,0.5
Dillon Brooks,,,,,104,12.5,-114,,19.5,,116,3.5,-152,,1.5
Jabari Smith Jr,,,,,-108,14.5,,-111,27.5,,-120,10.5,-154,,1.5
