Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Aleksander Barkov,-135,,0.5,,,,-215,,0.5,,-178,2.5
Matthew Tkachuk,-109,,0.5,,,,-210,,0.5,,-105,2.5
Sebastian Aho,-105,,0.5,,,,-200,,0.5,,-115,2.5
Carter Verhaeghe,135,,0.5,,,,-185,,0.5,,110,2.5
Andrei Svechnikov,135,,0.5,,,,-145,,0.5,,-131,2.5
Sam Reinhart,150,,0.5,,,,-200,,0.5,,-178,2.5
Brent Burns,160,,0.5,,,,113,,0.5,,-107,2.5
Seth Jarvis,160,,0.5,,,,,,,,-167,2.5
Brandon Montour,165,,0.5,,,,,,,,-143,2.5
Martin Necas,170,,0.5,,,,-118,,0.5,,-125,2.5
Brady Skjei,185,,0.5,,,,140,,0.5,,139,1.5
Michael Bunting,210,,0.5,,,,107,,0.5,,133,1.5
Sam Bennett,240,,0.5,,,,128,,0.5,,113,1.5
Anton Lundell,260,,0.5,,,,,,,,,
Teuvo Teravainen,,,,,,,,,,,,
Jordan Martinook,,,,,,,,,,,-102,1.5
Evan Rodrigues,,,,,,,145,,0.5,,-115,1.5
Jack Drury,,,,,,,,,,,,
Jesper Fast,,,,,,,,,,,,
Jesperi Kotkaniemi,,,,,,,,,,,,
Nick Cousins,,,,,,,,,,,,
Stefan Noesen,,,,,,,,,,,,
Ryan Lomberg,,,,,,,,,,,,
Kevin Stenlund,,,,,,,,,,,,
Gustav Forsling,,,,,,,,,,,-105,1.5
Oliver Ekman-Larsson,,,,,,,,,,,,
Jonah Gadjovich,,,,,,,,,,,,
Jaccob Slavin,,,,,,,,,,,,
Brett Pesce,,,,,,,,,,,,
Tony DeAngelo,,,,,,,,,,,,
Dmitry Orlov,,,,,,,,,,,,
Niko Mikkola,,,,,,,,,,,,
Dmitry Kulikov,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,,,,-102,1.5
Nathan MacKinnon,-250,,0.5,,,,,,,,-108,4.5
Mikko Rantanen,-170,,0.5,,,,,,,,-125,3.5
Patrick Kane,114,,0.5,,,,-160,,0.5,,-115,2.5
Dylan Larkin,118,,0.5,,,,-185,,0.5,,-108,2.5
Jonathan Drouin,121,,0.5,,,,-145,,0.5,,,
Devon Toews,135,,0.5,,,,105,,0.5,,120,1.5
J.T. Compher,140,,0.5,,,,-116,,0.5,,,
Artturi Lehkonen,140,,0.5,,,,-155,,0.5,,-188,2.5
Alex DeBrincat,150,,0.5,,,,-130,,0.5,,-152,2.5
David Perron,250,,0.5,,,,,,,,,
Ross Colton,265,,0.5,,,,129,,0.5,,-198,2.5
Cale Makar,,,,,,,,,,,-188,3.5
Lucas Raymond,,,,,,,-106,,0.5,,-105,1.5
Daniel Sprong,,,,,,,,,,,-178,2.5
Miles Wood,,,,,,,,,,,-198,2.5
