Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line,Saves_Over,Saves_Under,Saves_Line
Rasmus Dahlin,-195,,0.5,,,,-280,,0.5,,-188,3.5,,,
Zach Werenski,-102,,0.5,,,,-130,,0.5,,115,2.5,,,
Johnny Gaudreau,103,,0.5,,,,-165,,0.5,,-146,2.5,,,
Alex Tuch,117,,0.5,,,,-185,,0.5,,102,2.5,,,
Dylan Cozens,130,,0.5,,,,-150,,0.5,,-111,2.5,,,
Tage Thompson,130,,0.5,,,,-190,,0.5,,-115,3.5,,,
Casey Mittelstadt,140,,0.5,,,,-122,,0.5,,111,1.5,,,
Jeff Skinner,165,,0.5,,,,-140,,0.5,,108,2.5,,,
Jack Roslovic,170,,0.5,,,,110,,0.5,,110,1.5,,,
Boone Jenner,175,,0.5,,,,-155,,0.5,,-178,3.5,,,
Ivan Provorov,180,,0.5,,,,150,,0.5,,,,,,
Jordan Greenway,220,,0.5,,,,114,,0.5,,102,1.5,,,
JJ Peterka,240,,0.5,,,,-104,,0.5,,102,2.5,,,
Kirill Marchenko,245,,0.5,,,,115,,0.5,,-161,2.5,,,
Yegor Chinakhov,255,,0.5,,,,122,,0.5,,-167,2.5,,,
Dmitri Voronkov,265,,0.5,,,,135,,0.5,,104,1.5,,,
Zach Benson,,,,,,,,,,,,,,,
Kyle Okposo,,,,,,,,,,,,,,,
Cole Sillinger,,,,,,,,,,,,,,,
Kent Johnson,,,,,,,,,,,,,,,
Sean Kuraly,,,,,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,,,
Peyton Krebs,,,,,,,,,,,,,,,
Eric Robinson,,,,,,,,,,,,,,,
Zemgus Girgensons,,,,,,,,,,,,,,,
Justin Danforth,,,,,,,,,,,,,,,
Henri Jokiharju,,,,,,,,,,,,,,,
Damon Severson,,,,,,,,,,,,,,,
Mathieu Olivier,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Connor Clifton,,,,,,,,,,,,,,,
Jacob Bryson,,,,,,,,,,,,,,,
Jake Bean,,,,,,,,,,,,,,,
Ryan Johnson,,,,,,,,,,,,,,,
Erik Gudbranson,,,,,,,,,,,,,,,
Kale Clague,,,,,,,,,,,,,,,
Daniil Tarasov,,,,,,,,,,,,,,-123,28.5
Ukko-Pekka Luukkonen,,,,,,,,,,,,,,-111,26.5
Kyle Connor,-130,,0.5,,,,,,,,-149,3.5,,,
Josh Morrissey,-111,,0.5,,,,-150,,0.5,,-123,2.5,,,
Mark Scheifele,-101,,0.5,,,,-215,,0.5,,-152,2.5,,,
Seth Jones,127,,0.5,,,,100,,0.5,,-155,2.5,,,
Sean Monahan,135,,0.5,,,,-155,,0.5,,-161,2.5,,,
Philipp Kurashev,145,,0.5,,,,-109,,0.5,,111,1.5,,,
Connor Bedard,150,,0.5,,,,-155,,0.5,,115,2.5,,,
Gabriel Vilardi,150,,0.5,,,,-155,,0.5,,-137,2.5,,,
Nick Foligno,175,,0.5,,,,102,,0.5,,-108,1.5,,,
Adam Lowry,185,,0.5,,,,111,,0.5,,,,,,
Nikolaj Ehlers,185,,0.5,,,,-121,,0.5,,102,2.5,,,
Cole Perfetti,190,,0.5,,,,101,,0.5,,117,1.5,,,
Jason Dickinson,200,,0.5,,,,125,,0.5,,,,,,
Nino Niederreiter,215,,0.5,,,,109,,0.5,,-198,2.5,,,
Tyler Johnson,235,,0.5,,,,125,,0.5,,106,1.5,,,
Mason Appleton,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,,,,
Vladislav Namestnikov,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,,,,,,
Taylor Raddysh,,,,,,,,,,,,,,,
Ryan Donato,,,,,,,,,,,,,,,
Joey Anderson,,,,,,,,,,,,,,,
Morgan Barron,,,,,,,,,,,,,,,
Colin Blackwell,,,,,,,,,,,,,,,
Neal Pionk,,,,,,,,,,,111,1.5,,,
Reese Johnson,,,,,,,,,,,,,,,
MacKenzie Entwistle,,,,,,,,,,,,,,,
Dylan DeMelo,,,,,,,,,,,,,,,
Nate Schmidt,,,,,,,,,,,,,,,
Kevin Korchinski,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Brenden Dillon,,,,,,,,,,,,,,,
Dylan Samberg,,,,,,,,,,,,,,,
Jaycob Megna,,,,,,,,,,,,,,,
Isaak Phillips,,,,,,,,,,,,,,,
Jarred Tinordi,,,,,,,,,,,,,,,
Connor Hellebuyck,,,,,,,,,,,,,,-111,24.5
Petr Mrazek,,,,,,,,,,,,,,-133,29.5
Connor McDavid,-265,,0.5,,,,,,,,-121,3.5,,,
Leon Draisaitl,-165,,0.5,,,,,,,,-110,2.5,,,
Mats Zuccarello,-135,,0.5,,,,-220,,0.5,,130,1.5,,,
Kirill Kaprizov,-121,,0.5,,,,,,,,-129,3.5,,,
Ryan Nugent-Hopkins,-120,,0.5,,,,-220,,0.5,,-146,2.5,,,
Evan Bouchard,-107,,0.5,,,,-165,,0.5,,-119,2.5,,,
Joel Eriksson Ek,119,,0.5,,,,-200,,0.5,,-149,3.5,,,
Matt Boldy,121,,0.5,,,,-195,,0.5,,-161,3.5,,,
Brock Faber,135,,0.5,,,,-101,,0.5,,-105,1.5,,,
Zach Hyman,145,,0.5,,,,-215,,0.5,,-146,3.5,,,
Evander Kane,195,,0.5,,,,-130,,0.5,,117,2.5,,,
Marcus Johansson,205,,0.5,,,,122,,0.5,,,,,,
Ryan Hartman,245,,0.5,,,,117,,0.5,,-208,2.5,,,
Marco Rossi,270,,0.5,,,,135,,0.5,,-102,1.5,,,
Warren Foegele,,,,,,,,,,,-141,2.5,,,
Corey Perry,,,,,,,,,,,,,,,
Ryan McLeod,,,,,,,,,,,,,,,
Frederick Gaudreau,,,,,,,,,,,,,,,
Mattias Janmark,,,,,,,,,,,,,,,
Dylan Holloway,,,,,,,,,,,,,,,
Connor Brown,,,,,,,,,,,,,,,
Darnell Nurse,,,,,,,,,,,127,1.5,,,
Mattias Ekholm,,,,,,,,,,,,,,,
Brandon Duhaime,,,,,,,,,,,,,,,
Jonas Brodin,,,,,,,,,,,,,,,
Connor Dewar,,,,,,,,,,,,,,,
Derek Ryan,,,,,,,,,,,,,,,
Vinni Lettieri,,,,,,,,,,,,,,,
Jacob Lucchini,,,,,,,,,,,,,,,
Declan Chisholm,,,,,,,,,,,,,,,
Jake Middleton,,,,,,,,,,,,,,,
Cody Ceci,,,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,
Vincent Desharnais,,,,,,,,,,,,,,,
Dakota Mermis,,,,,,,,,,,,,,,
Jon Merrill,,,,,,,,,,,,,,,
Calvin Pickard,,,,,,,,,,,,,,-129,25.5
