Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Sebastian Aho,,155,0.5,,-102,2.5
Alex Ovechkin,,120,0.5,,-179,3.5
Andrei Svechnikov,,121,0.5,,-118,2.5
John Carlson,,-109,0.5,,119,1.5
Martin Necas,,109,0.5,,112,2.5
Seth Jarvis,,107,0.5,,-172,2.5
Brent Burns,,-156,0.5,,-169,2.5
Brady Skjei,,-169,0.5,,-175,2.5
Dylan Strome,,-130,0.5,,116,1.5
Evgeny Kuznetsov,,-118,0.5,,-217,2.5
Connor McMichael,,-175,0.5,,120,1.5
Max Pacioretty,,-169,0.5,,112,1.5
Jake Guentzel,,-263,1.5,,130,2.5
Jordan Martinook,,,,,125,1.5
Roope Hintz,,106,0.5,,-159,2.5
Sidney Crosby,,176,0.5,,-169,3.5
Evgeni Malkin,,-116,0.5,,133,1.5
Bryan Rust,,114,0.5,,119,2.5
Jason Robertson,,159,0.5,,-101,2.5
Joe Pavelski,,114,0.5,,-204,2.5
Tyler Seguin,,-120,0.5,,-149,2.5
Wyatt Johnston,,-105,0.5,,101,2.5
Jamie Benn,,-116,0.5,,133,1.5
Kris Letang,,-145,0.5,,-200,2.5
Miro Heiskanen,,-109,0.5,,-169,2.5
Thomas Harley,,-182,0.5,,146,1.5
Lars Eller,,-179,0.5,,130,1.5
Erik Karlsson,,110,0.5,,-128,2.5
Logan Stankoven,,-132,0.5,,-192,2.5
Michael Bunting,,-130,0.5,,-149,2.5
Mason Marchment,,-143,0.5,,,
Reilly Smith,,-169,0.5,,122,1.5
Matt Duchene,,-103,0.5,,-179,2.5
Rickard Rakell,,-192,0.5,,-185,2.5
Drew O'Connor,,,,,137,1.5
Mikko Rantanen,,-156,1.5,,-116,3.5
Nathan MacKinnon,,110,1.5,,-110,4.5
Boone Jenner,,-109,0.5,,-103,2.5
Valeri Nichushkin,,173,0.5,,-164,3.5
Zach Werenski,,-103,0.5,,-179,3.5
Devon Toews,,-137,0.5,,139,1.5
Artturi Lehkonen,,119,0.5,,-179,2.5
Johnny Gaudreau,,-111,0.5,,151,1.5
Kirill Marchenko,,-169,0.5,,-172,2.5
Cale Makar,,184,0.5,,127,2.5
Ivan Provorov,,-213,0.5,,,
Casey Mittelstadt,,-123,0.5,,125,1.5
Alex Nylander,,-161,0.5,,-139,2.5
Cole Sillinger,,-192,0.5,,113,1.5
Ross Colton,,,,,112,1.5
Miles Wood,,,,,-200,2.5
Nick Schmaltz,,122,0.5,,-196,2.5
Clayton Keller,,150,0.5,,112,2.5
Lawson Crouse,,-164,0.5,,126,1.5
Jaden Schwartz,,-149,0.5,,-196,2.5
Jared McCann,,-112,0.5,,116,2.5
Matty Beniers,,-120,0.5,,146,1.5
Logan Cooley,,-143,0.5,,137,1.5
Matias Maccelli,,-112,0.5,,,
Dylan Guenther,,-127,0.5,,-130,2.5
Oliver Bjorkstrand,,-132,0.5,,-169,2.5
Sean Durzi,,-147,0.5,,,
Nick Bjugstad,,-149,0.5,,-208,2.5
Eeli Tolvanen,,-125,0.5,,-189,2.5
Andre Burakovsky,,-164,0.5,,127,1.5
Jordan Eberle,,106,0.5,,-128,2.5
Yanni Gourde,,-161,0.5,,124,1.5
