Player,Assists_Over,Assists_Under,Assists_Line,Goal_Over,Goal_Under,Goal_Line,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Artemi Panarin,-195,,0.5,,,,,,,,-178,3.5
Adam Fox,-140,,0.5,,,,-165,,0.5,,110,1.5
Jason Robertson,-135,,0.5,,,,-275,,0.5,,111,2.5
Vincent Trocheck,-111,,0.5,,,,-230,,0.5,,111,2.5
Mika Zibanejad,102,,0.5,,,,-180,,0.5,,-129,2.5
Roope Hintz,140,,0.5,,,,-160,,0.5,,-167,2.5
Joe Pavelski,140,,0.5,,,,-160,,0.5,,-131,2.5
Chris Kreider,155,,0.5,,,,-185,,0.5,,-137,3.5
Jamie Benn,160,,0.5,,,,-109,,0.5,,,
Tyler Seguin,175,,0.5,,,,-113,,0.5,,-164,2.5
Wyatt Johnston,210,,0.5,,,,-118,,0.5,,-115,2.5
Alexis Lafreniere,230,,0.5,,,,101,,0.5,,-119,2.5
Mason Marchment,,,,,,,,,,,,
Kaapo Kakko,,,,,,,,,,,,
Thomas Harley,,,,,,,,,,,-198,2.5
Jonny Brodzinski,,,,,,,,,,,,
Adam Sykora,,,,,,,,,,,,
Craig Smith,,,,,,,,,,,,
Ty Dellandrea,,,,,,,,,,,,
Sam Steel,,,,,,,,,,,,
Jimmy Vesey,,,,,,,,,,,,
Will Cuylle,,,,,,,,,,,,
Adam Edstrom,,,,,,,,,,,,
Radek Faksa,,,,,,,,,,,,
Jacob Trouba,,,,,,,,,,,113,1.5
Barclay Goodrow,,,,,,,,,,,,
Esa Lindell,,,,,,,,,,,,
Erik Gustafsson,,,,,,,,,,,,
Ryan Suter,,,,,,,,,,,,
K'Andre Miller,,,,,,,,,,,,
Ryan Lindgren,,,,,,,,,,,,
Braden Schneider,,,,,,,,,,,,
Joel Hanley,,,,,,,,,,,,
Aleksander Barkov,-185,,0.5,,,,,,,,-135,2.5
Matthew Tkachuk,-140,,0.5,,,,-275,,0.5,,-188,3.5
Carter Verhaeghe,109,,0.5,,,,-235,,0.5,,-146,3.5
Tim Stutzle,116,,0.5,,,,-155,,0.5,,-188,2.5
Sam Reinhart,120,,0.5,,,,-260,,0.5,,-107,2.5
Claude Giroux,128,,0.5,,,,-150,,0.5,,-146,2.5
Brandon Montour,140,,0.5,,,,-101,,0.5,,-104,2.5
Jakob Chychrun,175,,0.5,,,,124,,0.5,,-158,2.5
Evan Rodrigues,190,,0.5,,,,112,,0.5,,133,1.5
Brady Tkachuk,190,,0.5,,,,-150,,0.5,,-125,3.5
Sam Bennett,195,,0.5,,,,100,,0.5,,-167,2.5
Anton Lundell,200,,0.5,,,,111,,0.5,,127,1.5
Josh Norris,215,,0.5,,,,105,,0.5,,110,1.5
Vladimir Tarasenko,215,,0.5,,,,112,,0.5,,,
Aaron Ekblad,220,,0.5,,,,160,,0.5,,-183,2.5
Shane Pinto,245,,0.5,,,,118,,0.5,,-198,2.5
Eetu Luostarinen,,,,,,,,,,,,
Nick Cousins,,,,,,,,,,,,
Mathieu Joseph,,,,,,,,,,,,
Ryan Lomberg,,,,,,,,,,,,
Kevin Stenlund,,,,,,,,,,,,
Dominik Kubalik,,,,,,,,,,,,
Gustav Forsling,,,,,,,,,,,-208,2.5
Jonah Gadjovich,,,,,,,,,,,,
Parker Kelly,,,,,,,,,,,,
Oliver Ekman-Larsson,,,,,,,,,,,,
Jake Sanderson,,,,,,,,,,,,
Mark Kastelic,,,,,,,,,,,,
