Name,PitcherStrikeoutsC,PitcherStrikeoutsH,PitcherStrikeoutsL,PitcherWalksC,PitcherWalksH,PitcherWalksL,HitsAllowedC,HitsAllowedH,HitsAllowedL,RunsAllowedC,RunsAllowedH,RunsAllowedL,TotalBasesC,TotalBasesH,TotalBasesL,HitsC,HitsH,HitsL,RunsC,RunsH,RunsL,RBIsC,RBIsH,RBIsL,HitsRunsRBIsC,HitsRunsRBIsH,HitsRunsRBIsL,SinglesC,SinglesH,SinglesL,DoublesC,DoublesH,DoublesL,StolenBasesC,StolenBasesH,StolenBasesL,BatterStrikeoutsC,BatterStrikeoutsH,BatterStrikeoutsL,BatterWalksC,BatterWalksH,BatterWalksL,FantasyC,FantasyH,FantasyL
Aaron Nola,5.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Chris Bassitt,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Springer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0x1,,
Luis Severino,4.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Abrams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Lane Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Luis Arraez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5x1,,
Hunter Greene,5.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrill Kelly,5.0x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Gilbert,5.5x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
