Name,Steals_Line,Assists_Line,BlocksSteals_Line,Turnovers_Line,PointsReboundsAssists_Line,Triple_Line,Points_Line,Threes_Line,Rebounds_Line,Double_Line,ReboundsAssists_Line,Fantasy_Line,PointsAssists_Line,PointsRebounds_Line,Blocks_Line
Jayson Tatum,0.5s,5.5s,1.5,2.0,40.5,,27.0,3.0,8.5,0.5s,14.0,46.85,31.5,34.5,0.5
Jaylen Brown,0.5s,3.5,1.5s,2.5,29.5,,19.5,,6.0,,9.5,,,26.0,0.5s
Derrick White,0.5s,4.0,1.5s,1.5,22.0,,,2.5s,3.5,,8.0,,18.5,17.5,0.5s
DeMar DeRozan,0.5s,5.0,1.5,1.5,,,,0.5s,,,9.5,,28.5,27.5,0.5s
Alex Caruso,1.5,,2.5,1.5s,16.5,,,1.5,4.0,,7.5,,,,1.5s
Coby White,0.5s,5.5,0.5s,2.5,31.5,,21.5,3.0,5.0,,10.5,,26.5,26.5,
Nikola Vucevic,0.5,,1.5,1.5s,32.5,,18.5,1.5s,11.0,0.5s,14.0,,,29.5,0.5s
Kristaps Porzingis,0.5s,,2.5,1.5,28.5,,19.5,1.5s,7.0,0.5s,9.5,,,,1.5
Jrue Holiday,0.5s,5.0,1.5s,1.5,21.5,,,1.5,4.5,,10.0,,16.5,16.5,0.5s
Andre Drummond,0.5s,,1.5,,,,8.5,,9.5,0.5s,10.5,,,18.5,0.5
Al Horford,0.5,,1.5s,,13.5,,,1.5s,5.5,,,,,,0.5s
Ayo Dosunmu,0.5s,,1.5s,2.0,18.5,,,1.5s,,,,,,,0.5s
Sam Hauser,0.5s,,0.5s,,,,,1.5,,,,,,,0.5s
Payton Pritchard,0.5s,,0.5s,,,,,,,,,,,,0.5s
Nikola Jokic,,9.0,,3.0,49.5,,,0.5s,12.5,,21.5,60.35,37.5,40.5,0.5s
Jamal Murray,,7.0,1.5,2.0,32.5,,20.5,,4.0,,11.0,37.95,28.5,24.5,
Aaron Gordon,,,1.5s,1.5s,23.5,,14.5,0.5,6.5,,9.5,,,20.5,
Michael Porter Jr.,0.5,,,,24.5,,15.5,2.5,6.5,,,,,,0.5
Kyle Kuzma,,3.5,,,29.5,,18.5,2.0,6.0,,10.0,,22.5,25.5,
Jordan Poole,,,,,,,,,,,,,,,
Tyus Jones,,7.5,,,23.5,,13.5,1.5,2.5,,10.5,,21.5,15.5,
Deni Avdija,,3.5,,,26.5,,15.5,1.5s,7.5,0.5s,11.0,,19.5,23.5,
Kentavious Caldwell-Pope,,,1.5,,15.5,,,1.5,2.5,,,,,,0.5s
Marvin Bagley III,,,,,21.5,,12.5,,6.5,,8.0,,,,
Peyton Watson,0.5,,1.5,,11.5,,,0.5,3.5,,,,,,0.5s
Christian Braun,0.5,,0.5s,,10.5,,,0.5s,3.5,,,,,,0.5s
Reggie Jackson,0.5,,,,14.5,,,0.5s,,,,,,,
Landry Shamet,,,,,,,,1.5s,1.5,,,,,,
Lauri Markkanen,,,,,34.5,,23.5,3.0,8.5,0.5s,10.5,38.25,,32.5,
Miles Bridges,,,,1.5s,34.5,,22.5,2.5s,6.5,,11.5,40.75,27.5,29.5,
Grant Williams,0.5s,,1.5s,1.5,18.5,,,2.0,4.0,,6.0,,,16.5,0.5s
Seth Curry,0.5,,,,10.5,,,1.5s,1.5,,,,,,0.5s
Walker Kessler,,,,,,,,,,,,,,,
Nick Richards,0.5s,,1.5,1.5s,20.5,,11.0,,8.0,0.5s,9.0,,,,1.5s
Tre Mann,0.5s,6.0,1.5s,1.5s,23.5,,12.5,1.5,4.0,,10.5,,18.5,17.5,0.5s
Cody Martin,0.5s,4.0,1.5,,16.5,,,0.5s,4.0,,8.0,,,,0.5s
Brandon Miller,0.5s,,,2.0,27.5,,,2.5s,,,7.0,,,,0.5s
Vasilije Micic,0.5s,4.0,0.5,1.5,12.5,,,0.5,1.5,,,,,,0.5s
Talen Horton-Tucker,,,,,12.5,,,0.5,2.0,,,,,,
Keyonte George,,5.5,,,23.5,,,,3.0,,8.5,,20.5,,
De'Aaron Fox,2.0,6.5,2.5,3.0,36.5,,25.5,2.5,,,11.0,45.25,32.5,30.0,0.5s
Domantas Sabonis,0.5s,9.0,1.5,3.0,44.5,0.5s,21.5,0.5s,13.5,,,53.25,30.5,35.5,0.5
Victor Wembanyama,1.5s,3.5,,,37.5,,23.5,1.5s,,0.5s,13.5,49.15,27.5,34.5,2.5s
Devin Vassell,0.5s,4.0,1.5s,1.5,29.5,,,2.5,4.0,,8.5,,25.5,25.5,0.5s
Keldon Johnson,0.5,,1.5s,1.5s,18.5,,,1.5s,4.5,,,,,17.5,0.5s
Keegan Murray,1.5s,,2.0,,22.5,,14.5,2.0,5.5,,,,,,0.5s
Jeremy Sochan,0.5s,,1.5s,1.5s,20.5,,11.5,0.5s,6.0,,8.5,,,,0.5s
Harrison Barnes,0.5s,,1.5s,,18.5,,,1.5s,4.0,,,,,,0.5s
Tre Jones,1.5s,6.5,1.5s,1.5s,19.5,,9.5,0.5,3.0,,10.0,,16.5,,0.5s
Malik Monk,0.5s,,1.5s,2.5s,26.5,,,2.5s,3.5,,9.0,,23.5,21.5,0.5
Zach Collins,0.5s,,0.5s,1.5s,14.5,,,0.5s,4.0,,6.5,,,,0.5s
Kevin Huerter,0.5s,,1.5,,17.5,,,2.0,3.5,,6.0,,,,0.5s
Malaki Branham,0.5s,,0.5s,,12.5,,,0.5s,,,,,,,0.5s
Cedi Osman,0.5s,,0.5,,,,,0.5s,2.5,,,,,,0.5s
Julian Champagnie,0.5,,0.5s,,,,,0.5s,2.5,,,,,,0.5s
Blake Wesley,,3.5,0.5s,1.5s,,,,0.5s,,,,,,,0.5s
Trey Lyles,0.5s,,0.5s,,13.5,,,1.5s,5.0,,6.0,,,,0.5s
Davion Mitchell,0.5s,,0.5s,,,,,,,,,,,,
Stephen Curry,,6.0,,,40.5,,29.5,5.5,4.5,0.5s,10.5,45.15,35.5,34.5,
Anthony Davis,,,3.5,,46.5,,,0.5,13.5,,18.0,58.55,31.5,42.5,2.0
Draymond Green,,6.5,,,24.5,,10.5,0.5s,7.5,0.5s,14.5,,17.5,18.5,
Austin Reaves,,6.5,1.5s,,28.5,,18.0,2.0,4.0,,10.5,,24.5,22.0,
Klay Thompson,,,,,21.5,,,2.5s,3.0,,,,17.5,18.5,
D'Angelo Russell,,7.0,1.5,,30.5,,20.5,3.0,3.5,,11.0,,27.0,23.5,0.5s
Andrew Wiggins,,,,,20.5,,,1.5s,5.0,,,,,,
Rui Hachimura,,,,,22.5,,,1.5,5.0,,6.5,,17.5,21.5,0.5s
Brandin Podziemski,,5.0,,,24.5,,12.5,1.5,7.0,,12.5,,17.5,19.5,
Jonathan Kuminga,,,,,27.5,,18.5,0.5,6.0,,8.5,,21.5,24.5,
Taurean Prince,0.5s,,1.5,,15.5,,,1.5s,,,,,,,
Lester Quinones,,,,,9.5,,,0.5s,2.5,,4.5,,7.0,7.5,
Giannis Antetokounmpo,,6.0,,,45.5,,28.5,0.5s,11.0,0.5s,17.5,,34.5,39.5,
Damian Lillard,,5.5,,,33.5,,,2.5s,,,9.0,,29.5,27.5,
Anthony Edwards,,5.5,,,38.5,,26.5,3.0,5.5,,11.0,,32.5,32.5,
Karl-Anthony Towns,,,,,32.5,,21.5,2.5s,7.5,0.5s,10.5,,24.5,29.5,
Brook Lopez,,1.5,,,17.5,,,1.5,5.0,,6.5,,12.5,16.5,
Jaden McDaniels,,,,,14.5,,,1.5s,3.0,,,,,,
Rudy Gobert,,,,,29.5,,14.5,,12.5,0.5s,14.0,,15.5,27.5,
Mike Conley,,6.5,,,19.5,,9.5,2.0,,,9.5,,16.5,,
Malik Beasley,,,,,14.5,,,2.5s,3.0,,4.0,,11.5,13.5,
