Name,Turnovers_Line,Threes_Line,ReboundsAssists_Line,Steals_Line,Points_Line,BlocksSteals_Line,Double_Line,Blocks_Line,Rebounds_Line,PointsRebounds_Line,Triple_Line,PointsAssists_Line,PointsReboundsAssists_Line,Assists_Line
Trae Young,3.5s,3.5s,14.0,1.5s,24.5,1.5s,0.5s,0.5s,,27.5,,35.5,38.5,11.0
Scottie Barnes,3.0,1.5s,15.5,1.5s,21.5,2.5s,,1.5s,8.0,30.5,0.5s,29.5,37.5,7.5
Jalen Johnson,1.5,1.5s,12.5,1.5s,15.5,2.5s,0.5s,1.5s,9.0,25.0,,18.5,28.5,
Immanuel Quickley,1.5,2.5,9.5,0.5s,19.5,1.5s,,0.5s,,23.5,,25.5,29.5,5.5
RJ Barrett,2.5s,1.5s,10.0,0.5s,20.5,1.5s,,0.5s,6.0,26.5,,24.5,30.5,4.0
Dejounte Murray,2.5s,2.5s,11.0,1.5s,21.5,1.5,,0.5s,5.0,26.5,,27.5,32.5,5.5
Clint Capela,,,9.0,0.5s,10.5,1.5,0.5s,1.5s,8.5,19.5,,11.5,19.5,
Jakob Poeltl,1.5,,11.5,0.5,12.5,2.5s,0.5s,1.5,8.5,21.5,,,24.5,
Gary Trent Jr.,,2.5s,,1.5s,,1.5s,,0.5s,,,,,17.5,
Bogdan Bogdanovic,,2.5,5.5,0.5s,,1.5s,,0.5s,3.0,16.5,,16.5,19.5,2.5
Donovan Mitchell,2.5,3.5,11.5,1.5,27.5,2.0,,0.5s,5.0,32.5,,33.5,38.5,6.0
Tyrese Maxey,2.5,3.5s,9.5,0.5s,25.5,1.5s,,0.5s,,29.0,,31.5,35.5,6.0
Tobias Harris,1.5s,1.5s,9.5,0.5s,17.5,1.5,,0.5s,6.0,23.5,,21.5,27.5,3.5
Paul Reed,,,,0.5s,8.5,2.0,0.5s,0.5s,8.5,17.5,,,18.5,
Jimmy Butler,1.5s,1.5s,10.5,1.5s,21.5,1.5,,0.5s,5.0,26.5,,27.5,32.5,5.5
Bam Adebayo,,,14.5,0.5s,20.5,2.0,0.5s,1.5s,10.5,31.5,,24.5,35.5,4.0
Brandon Ingram,2.5,1.5,11.5,0.5s,20.5,1.5,,0.5s,5.0,25.5,,26.5,32.5,6.0
Zion Williamson,2.5,,11.0,0.5s,23.5,1.5,,0.5,6.0,29.5,,29.5,35.5,5.0
Tyler Herro,1.5s,2.5s,9.0,0.5,,0.5s,,0.5s,4.5,23.5,,23.5,27.5,4.5
Duncan Robinson,1.5s,3.0,5.5,0.5,,0.5s,,0.5s,,15.5,,16.5,19.5,
Shai Gilgeous-Alexander,2.5s,1.5s,12.5,1.5,31.5,2.5,0.5s,0.5s,5.5,36.5,,38.5,43.5,7.0
