Name,PointsAssists_Line,PointsRebounds_Line,Assists_Line,Blocks_Line,Triple_Line,Fantasy_Line,Points_Line,ReboundsAssists_Line,Turnovers_Line,BlocksSteals_Line,Rebounds_Line,FT_Line,Double_Line,Steals_Line,PointsReboundsAssists_Line,Threes_Line
Luka Doncic,43.5,41.5,10.0,0.5s,,60.05,33.5,18.5,3.5s,1.5s,8.5,7.0,0.5s,1.5s,51.5,3.5
Tyrese Haliburton,33.5,25.5,11.5,0.5s,,47.25,21.5,15.5,2.5s,1.5,3.5,3.5,0.5s,1.5s,37.5,3.5s
Pascal Siakam,26.5,29.5,3.5s,0.5s,,37.45,22.5,10.0,1.5s,1.5s,6.0,,,0.5s,33.5,1.5s
Kyrie Irving,33.5,31.5,6.0,0.5s,,46.05,27.5,10.5,1.5s,1.5,4.5s,3.5,,1.5s,37.5,2.5s
Myles Turner,19.5,25.5,,1.5s,,,17.5,8.0,1.5s,2.0,7.0,3.5,,0.5,26.5,1.5
Tim Hardaway Jr.,,,,0.5s,,,,,,0.5s,2.5,,,0.5,16.5,2.5s
Daniel Gafford,,,,1.5s,,,8.5,,,1.5,6.0,,,0.5s,15.5,
PJ Washington,,17.5,2.0,0.5,,,,7.0,1.5s,1.5s,5.0,,,0.5s,19.5,1.5
Bennedict Mathurin,,,,0.5s,,,,,1.5s,0.5s,4.5,,,0.5,22.5,1.5s
Josh Green,,,,0.5s,,,,,,0.5s,2.5,,,0.5,13.5,1.5s
Obi Toppin,,,,0.5s,,,,,,0.5s,3.5,,,0.5s,12.5,1.5s
Dereck Lively II,,,,1.5s,,,,6.5,,1.5,5.5,,,0.5s,13.5,
Maxi Kleber,,,,0.5,,,,,,1.5s,,,,0.5s,10.5,0.5s
Andrew Nembhard,,,4.5,0.5s,,,,7.5,1.5s,1.5s,2.5,,,1.5s,17.5,0.5s
T.J. McConnell,,,5.0,0.5s,,,,7.5,1.5s,0.5s,2.5,,,0.5s,15.5,
Donovan Mitchell,33.5,32.5,6.0,0.5s,,45.55,27.5,11.0,2.5,2.5,5.0,5.5,,1.5s,38.5,3.0
Darius Garland,24.5,19.5,6.5s,0.5s,,,17.5,9.5,2.5s,1.5,,3.5,,1.5s,26.5,1.5s
Evan Mobley,,25.0,,1.5s,,,,,,2.5s,10.0,2.5,,0.5s,27.5,0.5s
Kyle Kuzma,24.5,28.5,3.5,0.5,,,21.5,10.5,3.0,1.5s,7.0,,0.5s,0.5s,32.5,2.0
Jarrett Allen,19.5,29.5,,1.5s,,37.75,17.5,13.5,1.5s,1.5s,11.5,3.0,0.5s,0.5,31.5,
Tyus Jones,20.5,,8.5,0.5s,,,11.5,,1.5s,1.5s,2.5,,0.5s,0.5s,23.5,1.5
Max Strus,,,,0.5s,,,,7.5,,1.5s,4.0,,,0.5s,18.5,1.5s
Caris LeVert,,,4.0,0.5s,,,,7.5,1.5s,1.5s,3.5,,,0.5,18.5,0.5s
Marvin Bagley III,,19.5,,0.5s,,,12.5,9.0,1.5s,1.5,7.5,,0.5s,0.5,21.5,
Bilal Coulibaly,,,,0.5,,,,7.0,1.5s,1.5,5.0,,,0.5s,15.5,0.5s
Isaac Okoro,,,,0.5s,,,,,,0.5s,2.5,,,0.5,11.5,0.5s
Georges Niang,,,,0.5s,,,,,,0.5s,,,,0.5s,10.5,1.5s
Dean Wade,,5.5,,0.5s,,,2.5s,,,0.5,2.5,,,0.5s,5.5,0.5
