Name,Turnovers_Line,ReboundsAssists_Line,PointsRebounds_Line,PointsReboundsAssists_Line,Assists_Line,Points_Line,Double_Line,BlocksSteals_Line,Rebounds_Line,Threes_Line,Blocks_Line,Triple_Line,Fantasy_Line,FT_Line,Steals_Line,PointsAssists_Line
Tyrese Haliburton,,15.5,25.5,37.5,11.5,21.5,0.5s,1.5,,3.5s,,,47.95,3.0,1.5s,33.5
Scottie Barnes,3.0,15.0,28.5,35.5,6.5,21.0,0.5s,2.0,7.5s,1.5s,0.5s,,42.65,4.0,0.5s,27.5
Pascal Siakam,1.5,9.5s,29.5,32.5,,22.5,,,6.5,1.5s,,,36.55,2.5,0.5s,25.5
Myles Turner,,8.5,25.5,26.5,,17.5,0.5s,,7.5,,,,,3.0,0.5,18.5
Immanuel Quickley,,9.5,22.5,28.5,5.5,18.5,,0.5s,,2.5,,,,2.5,,24.5
RJ Barrett,,9.5,26.0,30.5,3.5,20.5,,,5.5s,0.5s,,,,3.5,,24.5
Jakob Poeltl,,11.5,20.5,22.5,,11.5,0.5s,2.0,8.5s,,,,,,,
Bennedict Mathurin,1.5s,,21.0,23.0,,,,,,,,,,,,17.5
Gary Trent Jr.,,,,16.5,,,,,,2.5s,,,,,,
Obi Toppin,,5.5,,13.5,,,,0.5s,4.0,1.5s,,,,,,
Bruce Brown,,,,16.5,,,,1.5s,,0.5,,,,,,
Gradey Dick,,,,11.5,,,,0.5,,1.5s,,,,,0.5,
Kelly Olynyk,1.5s,7.5,,17.0,,,,1.5s,5.0,0.5,0.5s,,,,,
Andrew Nembhard,,7.0,,17.5,4.0,,,,2.5,0.5s,0.5s,,,,0.5s,
T.J. McConnell,,8.0,,15.5,5.0,,,0.5s,,,,,,,,
Jalen Smith,,5.5,,13.5,,,,,5.0,0.5s,,,,,,
Jalen Brunson,3.0,11.0,35.5,43.5,7.5,31.5,0.5s,,3.5,2.5s,0.5s,,47.55,6.5,0.5s,39.5
Cade Cunningham,3.0,11.0,24.5,32.5,7.5s,20.5,,1.5s,,1.5,0.5s,,35.95,3.0,0.5s,28.5
Bojan Bogdanovic,,,16.5,17.5,,,,0.5s,2.5,2.0,0.5s,,,,0.5,
Jaden Ivey,,6.5,18.5,21.5,3.5,,,1.5s,3.0,1.5,0.5s,,,2.5,0.5,18.5
Jalen Duren,1.5,,24.5,26.5,,13.5,0.5,1.5s,11.0,,,,,,0.5s,
Quentin Grimes,,,,13.5,,,,0.5s,,,0.5s,,,,,
Josh Hart,,13.5,20.5,25.5,,11.5,0.5s,1.5,9.0,1.5s,0.5s,,,,0.5s,16.5
James Wiseman,,,,10.5,,,,0.5s,4.5,,0.5,,,,,
Donte DiVincenzo,,7.5,22.5,25.5,,,,2.0,4.0,4.5s,,,,,1.5,21.5
Precious Achiuwa,1.5s,,22.5,23.5,,12.5,0.5s,2.0,9.5,,,,,,0.5s,
