Name,Fantasy_Line,Threes_Line,Double_Line,FT_Line,Triple_Line,Blocks_Line,Turnovers_Line,PointsReboundsAssists_Line,PointsRebounds_Line,Points_Line,ReboundsAssists_Line,Steals_Line,PointsAssists_Line,Assists_Line,BlocksSteals_Line,Rebounds_Line
Luka Doncic,57.85,3.5s,0.5s,7.0,,0.5s,,50.5,41.5,32.5,16.5s,,41.5,8.5,2.0,8.5
Donovan Mitchell,43.05,3.0,,5.5,,0.5s,2.5s,36.5,30.5,26.5,10.5,,32.5,5.5,2.5s,4.5
Darius Garland,,2.0,,3.0,,,,26.5,,17.5,,1.5s,24.5,6.5s,1.5s,
Kyrie Irving,41.85,2.5s,,3.5,,0.5s,1.5s,34.5,29.5,,9.5,1.5s,30.5,,1.5s,4.5s
Evan Mobley,,0.5s,0.5s,2.5,,1.5s,1.5,26.0,23.5,14.5,,0.5s,,,2.0,9.0
Jarrett Allen,,,0.5s,2.5,,0.5s,1.5,30.5,28.5,17.0,,0.5,,,1.5,10.5s
Tim Hardaway Jr.,,2.5s,,,,0.5s,,15.5,,,,0.5,,,0.5s,2.5
Max Strus,,1.5s,,,,0.5s,,16.5,,,7.0,0.5s,,,,3.5
PJ Washington,,1.5s,,,,0.5s,1.5s,16.5,,,,0.5s,,,1.5,5.0
Daniel Gafford,,,,,,0.5s,,13.0,,,,,,,1.5,5.0
Josh Green,,1.5s,,,,0.5s,1.5s,13.5,,,,0.5s,,,1.5s,3.0
Caris LeVert,,1.5s,,,,0.5s,1.5s,19.5,15.5,,8.0,0.5s,15.5,4.0,,3.5
Dereck Lively II,,,,,,0.5s,,11.5,,,5.5,0.5s,,,1.5,4.5
Maxi Kleber,,0.5s,,,,0.5,,10.5,,,,,,,,3.5
Isaac Okoro,,0.5s,,,,0.5s,,10.5,,,,0.5,,,0.5s,
Georges Niang,,1.5s,,,,,,,,,,0.5s,,,0.5s,
Stephen Curry,42.05,5.0,,,,,,38.5,,,,,,5.0,,4.0
Draymond Green,,0.5,,,,,,22.5,,8.5,13.5,,,5.5,,7.0
Kyle Kuzma,,2.5s,0.5s,,,,,34.5,,22.5,11.5,,,,,8.0
Chris Paul,,0.5s,,,,,,14.5,,,8.0,,,5.0,,3.0
Klay Thompson,,3.0,,,,,,21.5,,,,,,,,
Jordan Poole,,,,,,,,24.5,,,6.5,,,,,3.0
Tyus Jones,,,0.5s,,,,,24.5,,12.0,12.5,,,9.5s,,
Marvin Bagley III,,,0.5s,,,,,22.5,,12.5,,,,,,8.5s
Brandin Podziemski,,1.5s,,,,,,24.5,,12.5,11.5,,,4.5,,7.0
Jonathan Kuminga,,0.5,,,,,,27.5,,18.5,8.5,,,,,6.0
Moses Moody,,1.5s,,,,,,15.5,,,,,,,,4.0
Gary Payton II,,0.5s,,,,,,8.5,,,3.5,,,,,2.5
