Name,Points_Line,Steals_Line,PointsAssists_Line,Blocks_Line,Rebounds_Line,PointsRebounds_Line,Double_Line,Assists_Line,PointsReboundsAssists_Line,BlocksSteals_Line,Triple_Line,Turnovers_Line,ReboundsAssists_Line,Threes_Line
Luka Doncic,32.5,1.5s,42.5,0.5,8.5,41.5,0.5s,9.5,50.5,2.0,0.5s,3.5,17.5,3.5s
Scottie Barnes,20.5,0.5s,27.5,1.5s,8.5,28.5,,7.5s,36.5,2.5s,0.5s,3.0,15.5,1.5s
Kyrie Irving,26.5,0.5s,31.5,0.5s,5.0,31.5,0.5s,4.5s,36.5,1.5,,1.5,10.0,3.0
Immanuel Quickley,,0.5s,25.5,0.5s,,23.5,,5.5s,29.5,1.5s,,1.5,9.5,2.5s
RJ Barrett,20.5,0.5s,24.5,0.5s,6.0,26.5,,3.5,30.5,1.5s,,2.0,,1.5s
Tim Hardaway Jr.,,0.5,,0.5s,,14.5,,,16.5,0.5s,,,,2.0
Jakob Poeltl,11.5,0.5,,,9.0,21.5,0.5s,,23.5,2.0,,1.5s,11.5,
Daniel Gafford,7.5,0.5s,8.5,1.5s,6.0,13.5,,0.5,14.5,1.5s,,0.5,6.5,
PJ Washington,,0.5s,,0.5,5.5,16.5,,,18.5,,,1.5s,7.5,1.5s
Gary Trent Jr.,,1.5s,,0.5s,2.5,14.5,,,17.5,1.5s,,,,2.5s
Josh Green,,0.5s,,0.5s,,,,,14.5,1.5s,,,,1.5s
Dereck Lively II,7.5,0.5s,8.5,1.5s,6.5,14.5,,,15.5,2.0,,0.5s,7.5,
Tyrese Haliburton,19.5,1.5s,30.5,0.5s,3.5,23.5,0.5s,11.0,34.5,1.5,,2.0,15.0,
Brandon Ingram,21.5,0.5s,28.5,0.5s,5.0,26.5,,6.0,33.5,1.5s,,3.0,11.0,1.5s
Zion Williamson,25.5,0.5s,31.5,0.5s,5.5,31.5,,6.0,37.5,1.5s,,3.0,11.5,
Pascal Siakam,21.5,0.5s,25.5,0.5s,6.5,28.5,,3.5s,32.5,1.5s,,1.5,10.5,
Myles Turner,17.5,0.5,18.5,1.5s,7.5,25.5,0.5s,,26.5,2.0,,1.5,8.5,
Herbert Jones,,1.5s,15.5,0.5s,,16.5,,2.5,19.5,1.5,,1.5s,6.5,1.5
Jonas Valanciunas,14.5,0.5s,16.5,0.5,9.5,24.5,0.5s,2.0,26.5,1.5s,,1.5s,11.5,0.5s
Andrew Nembhard,,0.5s,,0.5s,2.5,,,,17.5,1.5s,,1.5s,6.5,0.5s
Jalen Smith,,0.5s,9.5,0.5,5.0,13.5,,,14.5,0.5s,,0.5,6.0,0.5s
Anthony Edwards,27.5,1.5s,33.5,0.5,6.0,33.5,,5.5,39.5,2.0,,3.0,11.5,2.5
Karl-Anthony Towns,22.5,0.5s,25.5,0.5s,9.5,31.5,,,34.5,1.5s,,3.0,12.5,2.5s
Jaren Jackson Jr.,,1.5s,25.5,1.5s,5.0,28.5,,,31.5,2.5,,3.5,7.5,1.5s
Rudy Gobert,14.5,0.5,15.5,2.5s,14.0,28.5,0.5s,,29.5,,,1.5s,15.5,
Mike Conley,,1.5s,17.5,0.5s,,,,6.0,20.5,1.5,,1.5s,9.0,2.5s
