Name,PointsAssists_Line,PointsReboundsAssists_Line,PointsRebounds_Line,ReboundsAssists_Line,Triple_Line,Steals_Line,Turnovers_Line,Rebounds_Line,Points_Line,BlocksSteals_Line,Threes_Line,Assists_Line,Double_Line,Blocks_Line
Giannis Antetokounmpo,34.5,45.5,39.5,17.5,,1.5s,2.5,11.0,27.5,1.5s,0.5s,6.0,,0.5s
Damian Lillard,29.5,34.5,27.5,,,1.5s,2.5,,23.5,1.5s,2.5s,,,0.5s
Brook Lopez,,18.5,,6.5,,0.5s,,5.0,,3.0,1.5,,,2.5s
Miles Bridges,23.5,30.5,26.5,10.5,,0.5s,2.5,6.5,19.5,1.5s,2.5s,,,0.5s
Nick Richards,,19.5,,,,0.5s,1.5s,,9.5,1.5s,,,0.5s,0.5s
Jae Crowder,,12.5,,6.5,,0.5s,,,,1.5s,1.5s,,,0.5s
Malik Beasley,,16.5,,,,0.5s,,,,1.5s,3.0,,,0.5s
Brandon Miller,20.5,24.5,,6.5,,1.5s,2.5s,4.0,,1.5,2.5,2.5,,0.5s
Tre Mann,16.5,20.5,16.5,8.0,,1.5s,,4.0,,1.5s,1.5,4.0,,0.5s
Cody Martin,,16.5,,9.0,,0.5s,,4.5,,1.5s,0.5s,,,0.5s
Lauri Markkanen,22.5,31.5,29.5,10.5,,0.5s,1.5s,8.5s,20.5,1.5s,,,0.5s,0.5s
Jalen Suggs,13.5,16.5,13.5,5.5,,1.5s,1.5s,3.0,,2.0,1.5,,,0.5s
Paolo Banchero,27.5,33.5,28.5,12.5,,0.5s,2.5s,6.5,21.5,1.5,1.5s,5.5,,0.5
Franz Wagner,26.5,31.5,27.5,,,0.5s,2.0,,,1.5s,1.5,4.5,,0.5s
Wendell Carter Jr.,13.5,21.5,19.5,9.0,,0.5s,1.5s,7.5,12.5,1.5s,0.5s,,,0.5
John Collins,14.5,23.5,22.5,,,0.5,1.5s,,13.5,1.5s,0.5s,,0.5s,0.5s
Collin Sexton,22.5,25.5,20.5,7.5,,0.5s,2.5s,2.5,,1.5s,1.5,5.0,,0.5s
Keyonte George,18.5,21.5,16.5,,,0.5s,2.5s,,,1.5s,2.0,5.0,,0.5s
Stephen Curry,31.5,35.5,30.5,8.0,,0.5s,3.0,,,1.5s,5.0,,,0.5s
Jalen Brunson,38.5,42.5,34.5,10.5,,0.5s,3.5s,3.5,31.5,1.5s,2.5,,,0.5s
Draymond Green,,20.5,,12.5,,0.5s,1.5s,6.5,7.5,1.5s,,5.5,,0.5s
Brandin Podziemski,15.5,21.5,17.5,10.5,,0.5s,1.5,6.0,10.5,1.5s,1.5s,4.0,,0.5s
Jonathan Kuminga,19.5,24.5,21.5,,,0.5,2.0,5.0,,1.5s,0.5s,,,0.5s
Jalen Johnson,21.5,30.5,26.5,13.5,,1.5s,2.0,9.5,16.5,2.0,1.5s,4.0,0.5s,0.5s
Nic Claxton,14.5,24.5,22.5,12.5,,0.5s,1.5s,10.5,12.0,2.5,,,0.5s,1.5s
Mikal Bridges,27.5,31.5,27.5,8.0,,0.5s,2.5s,4.0,,1.5s,3.0,,,0.5s
Dejounte Murray,30.5,,27.5,,,1.5s,3.5s,5.5,,1.5,1.5s,8.0,0.5s,0.5s
Cam Johnson,17.5,21.5,18.5,6.5,,0.5s,1.5s,4.0,,1.5s,2.5,,,0.5s
Clint Capela,10.5,20.5,20.5,10.5,,0.5,0.5s,,10.0,1.5,,,0.5s,1.5s
Saddiq Bey,15.5,20.5,19.5,6.5,,0.5s,0.5s,5.5,,0.5s,1.5s,,,0.5s
Bogdan Bogdanovic,20.5,25.5,21.5,,,1.5s,1.5s,,,1.5,2.5s,3.0,,0.5s
Dorian Finney-Smith,9.5,14.5,12.5,6.0,,0.5s,0.5s,,,1.5s,1.5,,,0.5
Shai Gilgeous-Alexander,37.5,43.5,36.5,,,1.5,2.5,5.5,31.5,,1.5,6.5,,0.5s
Chet Holmgren,19.5,27.5,,11.0,,0.5s,,8.5,16.5,,1.5s,,0.5s,2.5s
Victor Wembanyama,26.5,37.5,33.5,14.5,,1.5,,,,4.5,1.5s,3.5,,
Jalen Williams,24.5,29.5,24.5,9.0,,1.5s,1.5s,4.0,,1.5,1.5,4.5,,0.5s
Devin Vassell,25.5,30.5,25.5,,,0.5s,2.0,4.5,,1.5s,2.5,4.5,,0.5s
Josh Giddey,,19.5,15.5,9.5,,0.5,1.5,5.5,9.5,1.5s,0.5s,,,0.5s
Jeremy Sochan,,19.5,16.5,8.0,,0.5s,1.5s,5.5,,1.5s,0.5s,,,0.5s
Tre Jones,16.5,19.5,,10.0,,0.5s,1.5s,,9.5,0.5s,0.5,6.5,,0.5s
Luguentz Dort,,14.5,,,,0.5s,,3.5,,1.5s,1.5,,,0.5s
Julian Champagnie,,10.5,,,,,,,,0.5s,1.5s,,,0.5s
Kevin Durant,32.5,38.5,33.5,,,0.5s,3.0,6.5,26.5,2.5,2.5s,5.5,,1.5
Devin Booker,33.5,38.5,32.5,10.0,,0.5s,2.5,4.0,27.5,1.5s,2.5s,5.5,,0.5s
Alperen Sengun,25.5,35.5,31.5,,,0.5s,2.5s,,20.5,1.5s,0.5s,4.5,0.5s,0.5
Fred VanVleet,22.5,25.5,18.5,10.0,,1.5s,1.5,,15.5,2.0,2.5s,6.5,,0.5s
Dillon Brooks,13.5,16.5,15.5,,,0.5s,0.5s,,,0.5s,1.5,,,0.5s
Jalen Green,19.5,23.5,19.5,7.5,,0.5s,1.5s,4.0,,1.5s,1.5,,,0.5s
Jusuf Nurkic,14.5,24.5,21.5,13.5,,0.5s,1.5,,11.5,1.5s,0.5s,,0.5s,0.5s
Jabari Smith Jr.,16.5,25.5,24.5,,,0.5s,1.5s,9.5,14.5,1.5s,1.5,,0.5s,0.5s
Nikola Jokic,35.5,47.5,38.5,21.5,0.5s,0.5s,3.0,12.5,25.5,2.0,0.5s,9.5,,0.5s
Jimmy Butler,24.5,29.5,24.5,9.5,,1.5s,1.5s,5.0,,1.5,0.5s,4.5,,0.5s
Bam Adebayo,21.5,32.5,29.5,13.5,,0.5s,2.5s,10.5,18.5,2.0,,3.0,0.5s,1.5s
Kyle Kuzma,25.5,33.5,30.5,11.5,,0.5,2.5s,8.0,21.5,1.5s,2.0,3.0,0.5s,0.5
Tyus Jones,21.5,24.5,14.5,13.0,,0.5s,1.5s,3.0,11.5,1.5s,1.5s,10.0,0.5s,0.5s
Deni Avdija,18.5,25.5,22.5,11.0,,0.5s,2.5,7.5,14.5,1.5s,1.5s,3.5,0.5s,0.5s
