Name,PointsRebounds_Line,BlocksSteals_Line,Turnovers_Line,Assists_Line,Blocks_Line,Threes_Line,PointsAssists_Line,ReboundsAssists_Line,Triple_Line,Points_Line,Rebounds_Line,PointsReboundsAssists_Line,Double_Line,Steals_Line
Jalen Brunson,31.5,0.5s,2.5,7.0,0.5s,2.5,34.5,10.5,,32.5s,3.5,38.5,0.5s,0.5
Tyrese Maxey,29.5,1.5s,2.5s,5.0,0.5s,2.5s,30.5,8.5,,30.5s,3.5,34.5,,0.5s
Tobias Harris,23.5,1.5,1.5,,0.5,1.5s,19.5,10.0,,16.5,6.5,26.5,,1.5s
Kyle Lowry,,1.5s,1.5,4.5,0.5s,1.5s,,7.5,,,3.0,15.5,,0.5s
Kelly Oubre Jr.,20.5,1.5,1.5,,0.5s,1.5s,16.5,6.5,,,5.0,22.5,,1.5s
Josh Hart,21.5,1.5s,2.0,4.5,0.5s,1.5s,16.5,14.0,,11.5,9.5,27.0,0.5s,0.5s
Donte DiVincenzo,22.5,1.5s,2.0,,0.5s,3.5,20.5,8.0,,,,25.5,,1.5s
Isaiah Hartenstein,,2.0,1.5s,,1.5s,,,10.5,,6.5,8.0,17.5,,0.5s
Paul Reed,15.5,1.5s,0.5s,,1.5s,0.5s,9.5,8.5,,8.5,7.0,16.5,,0.5
Mo Bamba,,1.5s,,,0.5s,0.5s,,,,,4.5,,,0.5s
Shai Gilgeous-Alexander,37.5,2.5,2.5,6.5,0.5s,1.5s,39.0,12.5,,38.5s,5.5,44.5,,1.5
Tyrese Haliburton,23.5,1.5,2.5s,10.0,0.5s,2.5,29.5,14.5,,22.5s,4.0,34.5,0.5s,0.5s
Pascal Siakam,27.5,1.5s,1.5,,0.5s,0.5s,23.5,10.5,,25.5s,7.0,31.5,0.5s,0.5
Chet Holmgren,24.5,2.5s,1.5,,2.0,1.5s,18.5,11.5,,18.5s,8.5,27.5,0.5s,0.5
Jalen Williams,24.5,1.5,1.5s,4.5,0.5s,1.5s,24.5,8.5,,,4.0,28.5,,0.5s
Myles Turner,24.5,2.5,1.5s,,1.5s,1.5s,17.5,8.5,,16.5,7.5,25.5,0.5s,0.5
Josh Giddey,18.5,1.5s,,4.5,0.5s,0.5s,16.5,11.5,,11.5,6.5,23.5,,0.5
Luguentz Dort,15.5,1.5s,,,0.5s,2.0,,,,,3.5,16.5,,0.5s
Obi Toppin,,0.5s,,,0.5s,1.5s,,,,,3.5,12.5,,0.5s
Aaron Nesmith,17.5,1.5,1.5s,,0.5,1.5s,,,,,4.5,19.5,,0.5s
Andrew Nembhard,,1.5s,1.5s,,0.5s,0.5s,,,,,2.5,14.5,,0.5s
Jalen Smith,,0.5s,,,0.5,0.5s,,,,,5.0,14.5,,0.5s
T.J. McConnell,,1.5s,1.5s,5.0,0.5s,,,8.5,,,3.0,17.5,,0.5s
Kyle Kuzma,33.5,2.0,2.5,4.0,1.5s,2.5s,28.5,13.0,,29.5s,8.5,37.5,0.5s,0.5s
Jordan Poole,21.5,1.5s,2.5s,4.5,0.5s,2.5,21.5,8.5,,20.5s,,25.5,,1.5s
Tyus Jones,,1.5s,,8.5s,0.5s,1.5,20.5,12.5,,11.5,3.5,24.5,0.5s,1.5s
Deni Avdija,25.5,1.5s,2.5s,,0.5s,1.5s,19.5,12.5,,15.5,9.5,28.5,,0.5s
Luke Kennard,16.5,0.5s,1.5s,4.0,0.5s,2.5s,17.5,7.0,,,,20.5,,0.5
Santi Aldama,22.5,1.5s,1.5s,,0.5s,1.5s,18.5,10.5,,15.5,7.0,25.5,,0.5s
Bilal Coulibaly,,2.0,1.5s,,0.5s,1.5s,,,,,5.0,16.5,,1.5s
Corey Kispert,20.5,1.5s,1.5,,0.5s,2.5,18.5,7.5,,,4.5,23.5,,0.5s
Victor Wembanyama,33.5,5.0,3.5,3.5,3.5s,1.5s,25.5,14.5,,22.5,11.5,37.5,0.5s,1.5s
Fred VanVleet,25.5,2.5s,2.5s,8.0,0.5s,,28.5,12.5,,25.5s,,33.5,0.5s,1.5s
Devin Vassell,25.5,1.5,1.5s,4.5,0.5s,2.5s,25.5,9.5,,,5.0,30.5,,0.5s
Dillon Brooks,17.5,1.5s,,,0.5s,1.5s,,6.0,,,4.0,,,0.5s
Jalen Green,29.5,1.5,2.5,4.0,0.5s,2.5,28.5,10.0,,27.5s,,34.5,0.5s,1.5s
Jeremy Sochan,19.5,1.5s,1.5,,0.5s,0.5s,15.5,9.5,,12.5,7.0,22.5,,0.5s
Tre Jones,,1.5s,1.5s,6.5,0.5s,0.5s,15.5,10.5,,8.5,,19.5,,0.5s
Jabari Smith Jr.,26.5,2.0,1.5s,,0.5s,1.5s,,,,14.5,11.0,27.5,0.5s,1.5s
Julian Champagnie,,0.5s,,,0.5s,1.5s,,,,,3.5,11.5,,0.5s
Jayson Tatum,41.5,1.5s,3.0,,0.5,3.5,38.5,14.5,,32.5,8.5,47.5,0.5s,1.5s
Derrick White,22.5,2.0,1.5s,5.0,0.5s,3.0,23.5,9.5,,,,28.5,,1.5s
John Collins,26.5,1.5s,1.5,,0.5s,1.5s,17.5,11.0,,19.5s,9.5,27.5,,0.5
Jrue Holiday,21.5,2.0,2.0,5.5,0.5,2.5,22.5,10.5,,16.5,4.5,27.5,,1.5s
Jordan Clarkson,22.5,0.5s,2.5s,,0.5s,2.5s,22.5,8.0,,21.5s,3.5,26.5,,0.5
Collin Sexton,24.5,0.5s,1.5s,5.5,0.5s,2.0,27.5,8.5,,,,30.5,,0.5s
Walker Kessler,16.5,,,,2.5s,,,8.5,,8.5,7.5,17.5,,0.5
Brice Sensabaugh,,0.5s,1.5,,0.5s,1.5s,,,,,4.5,15.5,,0.5
Keyonte George,19.5,0.5s,2.5s,5.5,0.5s,2.5,,8.5,,,,,,0.5
Kawhi Leonard,31.5,2.5,2.0,4.0,0.5s,2.0,29.5,11.0,,24.5,6.5,35.5,,1.5s
Anthony Edwards,35.5,2.0,3.0,5.0,0.5,2.5,34.5,10.5,,29.5,6.0,40.5,,
Paul George,26.5,2.5s,2.5,,0.5s,3.0,25.5,9.5,,26.5s,5.5,,,1.5
James Harden,21.5,1.5,2.5,8.5,0.5s,2.5,24.5,13.5,,16.5,5.0,30.5,0.5s,0.5s
Jaden McDaniels,15.5,1.5s,1.5s,1.5,0.5s,1.5s,12.5,6.0,,,4.0,17.5,,0.5s
Rudy Gobert,31.5,3.0,1.5,,2.5s,,16.5,16.5,,15.5,15.5,32.5,,0.5
Mike Conley,13.5,1.5s,1.5,6.0,0.5s,2.0,16.5,9.0,,,,19.5,,1.5s
Kyle Anderson,13.5,1.5,1.5,4.5,0.5s,0.5s,13.5,9.5,,,4.5,18.5,,1.5s
Ivica Zubac,18.5,1.5s,1.5s,,0.5s,,,9.5,,10.0,8.5,19.5,0.5s,0.5s
Terance Mann,10.5,0.5,0.5s,,0.5s,0.5s,9.5,4.5,,,,12.5,,0.5s
Giannis Antetokounmpo,44.5,2.0,3.0,7.0,0.5s,0.5,39.5,19.0,0.5s,37.5s,12.5,51.5,,1.5s
De'Aaron Fox,33.5,2.5s,2.5,5.5,0.5s,2.5s,34.5,10.5,,33.5s,4.5,38.5,,1.5s
Damian Lillard,31.5,1.5s,3.0,7.0,0.5s,3.5,34.5,11.5,,32.5s,,39.5,,0.5s
Domantas Sabonis,34.5,1.5,3.0,8.5,0.5s,0.5s,28.5,23.5,0.5s,25.5s,14.5,43.5,0.5s,0.5s
Brook Lopez,15.5,2.5s,0.5s,,2.0,1.5,11.5,6.5,,,5.0,16.5,,0.5
Keegan Murray,18.5,1.5s,,,0.5s,2.0,,6.5,,,5.0,19.5,,0.5s
Harrison Barnes,,0.5s,,,0.5s,1.5s,,,,,2.5,14.5,,0.5
Bobby Portis,22.5,0.5s,1.5s,,0.5s,0.5s,15.5,9.0,,14.5,8.0,23.5,0.5s,0.5
Malik Monk,21.5,1.5s,1.5s,5.5,0.5s,2.5s,23.5,9.5,,,4.0,27.5,,0.5s
Kevin Huerter,,0.5s,,,0.5s,1.5,,,,,3.0,13.5,,0.5
Pat Connaughton,8.5,0.5s,0.5,1.5,0.5s,1.5s,7.0,5.0,,,,10.5,,0.5s
Patrick Beverley,7.5,0.5s,0.5s,2.0,0.5s,0.5,6.5,4.5,,,2.5,9.5,,0.5
Malik Beasley,,1.5s,,,0.5s,3.0,,,,,3.5,17.5,,0.5s
Jae Crowder,,0.5s,,,0.5s,0.5s,,,,,3.0,,,0.5s
