Name,PointsRebounds_Line,Turnovers_Line,ReboundsAssists_Line,PointsAssists_Line,BlocksSteals_Line,Double_Line,PointsReboundsAssists_Line,Fantasy_Line,Rebounds_Line,Steals_Line,Blocks_Line,FT_Line,Points_Line,Triple_Line,Threes_Line,Assists_Line
Tyrese Haliburton,,,15.5,,,,,44.95,4.0,,,3.5,,,2.5s,11.0
Pascal Siakam,,,11.5,,,0.5s,33.5,37.75,7.5,,,3.5,17.5s,,0.5s,
Cade Cunningham,,,11.5,,,0.5s,34.5,39.75,4.5,,,4.0,29.5s,,1.5s,7.5
Myles Turner,,,8.5,,,,24.5,,,,,3.5,24.5s,,1.5s,
Jaden Ivey,,,7.5,,,,25.5,,3.5,,,3.5,24.0s,,1.5,
Jalen Duren,,,14.5,,,0.5s,28.5,,12.5,,,,13.5,,,
Obi Toppin,,,,,,,13.5,,4.0,,,,,,0.5s,
Jalen Smith,,,6.5,,,,15.5,,5.5,,,,8.5,,0.5s,
Andrew Nembhard,,,,,,,15.5,,,,,,,,0.5s,
Aaron Nesmith,,,,,,,20.5,,,,,,,,2.0,
T.J. McConnell,,,7.5,,,,18.5,,3.0,,,,,,0.5s,4.5
Simone Fontecchio,,,,,,,,,,,,,,,,
Jimmy Butler,,,11.5,,,,35.5,41.75,6.0,,,,30.5s,,0.5s,5.0
Darius Garland,,,9.5,,,,30.5,,,,,,17.5s,,3.5s,6.5
Jarrett Allen,,,,,,0.5s,30.5,37.05,11.5,,,,20.0s,,,
Caris LeVert,,,12.5,,,,28.5,,5.0,,,,19.5s,,1.5s,7.0
Terry Rozier,,,9.5,,,,29.5,,4.5,,,,25.5s,,1.5s,
Marcus Morris Sr.,,,,,,,11.5,,,,,,,,1.5s,
Georges Niang,,,,,,,17.5,,4.5,,,,,,2.5s,
Isaac Okoro,,,6.0,,,,17.5,,3.5,,,,,,1.5,
Nikola Jovic,,,6.5,,,,12.5,,4.5,,,,,,0.5s,
Sam Merrill,,,,,,,14.5,,,,,,,,2.5s,
Tristan Thompson,,,6.0,,,,,,4.5,,,,,,,
Jayson Tatum,,,13.5,,,0.5s,39.5,,8.5,,,,33.5s,,3.0,5.0
Damian Lillard,,,12.5,,,0.5s,40.5,,4.5,,,,35.5s,,3.5s,8.0
Jaylen Brown,,,9.5,,,,33.5,,6.0,,,,30.5s,,2.5s,
Derrick White,,,10.5,,,,25.5,,4.5,,,,14.5,,2.5,6.0
Khris Middleton,,,8.5,,,,24.5,,4.0,,,,19.5s,,1.5s,
Brook Lopez,,,,,,,19.5,,5.5,,,,,,1.5s,
Kristaps Porzingis,,,9.0,,,,29.5,,7.0,,,,20.5,,2.5,
Bobby Portis,,,10.5,,,0.5s,26.5,,8.5,,,,19.5s,,1.5s,
Pat Connaughton,,,,,,,10.5,,3.5,,,,,,1.5s,
Patrick Beverley,,,6.0,,,,11.5,,,,,,,,0.5s,
Jae Crowder,,,,,,,11.5,,4.0,,,,,,1.5s,
Malik Beasley,,,,,,,,,3.5,,,,,,3.0,
De'Aaron Fox,32.5,3.0,12.0,34.5,2.5s,,39.5,45.75,5.5s,2.0,0.5s,4.0,34.5s,,2.5,6.5
Domantas Sabonis,37.5,2.5s,23.5,29.5,,,45.5,54.45,15.5,0.5s,0.5s,4.0,17.5s,0.5s,0.5s,8.0
Keegan Murray,21.5,1.5s,,,2.0,,23.5,,7.0,0.5s,0.5s,,14.5,,2.0,
Harrison Barnes,17.5,,,,,,18.5,,,0.5,,,,,1.5s,
Malik Monk,22.5,2.0,9.5,23.5,,,28.5,,4.0,0.5,0.5s,,14.5s,,2.5s,5.5
Gary Trent Jr.,23.5,1.5s,6.0,22.5,1.5,,26.5,,3.5,,,,24.5s,,3.5,
Kelly Olynyk,21.5,2.5s,12.5,20.5,,0.5s,27.0,,6.5s,1.5s,0.5,,14.5,,1.5s,5.5s
Gradey Dick,17.5,1.5,6.0,15.5,,,19.5,,3.5,,,,,,2.0,
Keon Ellis,,,6.5,,2.5,,13.5,,4.0,1.5,,,,,1.5s,
Davion Mitchell,,,,,0.5s,,,,,0.5s,,,,,0.5,
Chris Duarte,,,,,0.5s,,,,3.0,0.5s,0.5s,,,,1.5s,
Ochai Agbaji,,1.5s,6.0,,1.5s,,16.5,,,,0.5,,,,0.5s,
Shai Gilgeous-Alexander,37.5,,12.5,37.5,2.5,,43.5,53.75,6.0,1.5,1.5s,,39.5s,,1.5,6.0
Chet Holmgren,25.0,,11.5,,,0.5s,26.5,,8.5,,,,15.5,,1.5,
Jalen Williams,24.5,1.5,8.5,24.5,1.5,,28.5,,4.5s,0.5s,0.5,,23.5s,,1.5s,4.5
John Collins,24.5,1.5,10.0,16.5,1.5,0.5s,25.5,,9.0,0.5s,0.5s,,19.5s,,0.5s,
Josh Giddey,17.5,1.5,10.0,15.5,,,21.5,,5.5s,0.5,0.5s,,11.5,,,
Gordon Hayward,,,,,0.5s,,10.5,,,0.5s,0.5s,,,,0.5s,
Luguentz Dort,,,,,1.5s,,15.5,,,,0.5s,,,,2.0,
Cason Wallace,,,,,1.5s,,,,,0.5s,0.5s,,,,1.5s,
Taylor Hendricks,17.5,,8.0,,1.5,,18.5,,7.0,0.5s,,,10.5,,,
Keyonte George,23.5,3.0,8.5,24.5,0.5s,,28.5,,,0.5,0.5s,,24.5s,,2.5,5.0
Isaiah Joe,,,,,0.5s,,11.5,,2.5,0.5,0.5s,,,,1.5s,
Kenrich Williams,,,,,0.5s,,,,,0.5s,0.5s,,,,0.5,
Jaylin Williams,,,,,0.5s,,,,,0.5s,0.5s,,2.5s,,0.5,
Aaron Wiggins,,,,,0.5s,,,,,0.5s,,,,,0.5s,
Stephen Curry,31.5,3.0,9.5s,31.5,,,36.5,39.85,4.5,0.5s,0.5s,4.0,34.5s,,4.5s,5.0
Desmond Bane,28.5,2.5s,10.5,29.5,1.5,,34.5,,4.5,,0.5s,4.0,29.5s,,3.0,5.5
Draymond Green,,2.5,13.5,,2.5s,,20.5,,7.5,1.5s,,,6.5,,0.5,6.0
Klay Thompson,20.5,1.5,,,,,22.5,,3.5,0.5s,0.5s,,24.5s,,3.5s,
Jaren Jackson Jr.,28.5,,9.5,25.5,3.5,,32.5,39.75,6.0,1.5,1.5,5.0,29.5s,,1.5s,
Andrew Wiggins,17.5,1.5s,,,1.5,,18.5,,4.5,0.5s,0.5,,,,1.5s,
Santi Aldama,19.5,1.5,9.5,,2.0,,21.5,,7.0,0.5s,0.5s,,12.0,,1.5s,
Jonathan Kuminga,23.5,2.0,7.5,20.5,1.5,,26.5,,5.0,0.5s,0.5,3.0,24.5s,,,
Kevin Durant,31.5,3.0,11.5,28.5,2.0,,36.0,41.75,7.0,0.5s,,,29.5s,,2.0,4.0
Devin Booker,29.5,2.0,11.0,31.5,1.5s,,35.5,40.55,4.5,0.5s,0.5s,,24.5,,2.5s,6.5s
Tyrese Maxey,32.5,2.5s,9.0,33.5,1.5s,,37.5,41.75,3.5,0.5s,,,34.5s,,3.0,5.5
Bradley Beal,22.5,2.5s,9.0,22.5,1.5s,,26.5,,4.5,,0.5s,,24.5s,,1.5s,4.5
Tobias Harris,24.5,,9.5,20.5,2.0,,27.5,,6.5,1.5s,0.5,,24.5s,,1.5s,
Jusuf Nurkic,22.5,2.0,15.5,,1.5s,,25.5,,,0.5,1.5s,,10.5,,,
Kyle Lowry,,1.5s,7.5,,1.5s,,15.5,,,1.5s,0.5s,,,,1.5s,4.5
Kelly Oubre Jr.,22.5,1.5,6.5,18.5,1.5,,24.5,,5.0,,0.5s,,,,1.5,
Royce O'Neale,,,6.5,,,,12.5,,4.5,0.5,0.5s,,,,1.5s,
Eric Gordon,,,,,0.5s,,11.5,,,0.5,0.5s,,,,1.5s,
Mo Bamba,,,6.0,,,,11.5,,5.0,,0.5s,,,,0.5,
Grayson Allen,16.5,,6.0,,1.5s,,18.5,,3.5,0.5s,0.5s,,,,2.5s,
Kawhi Leonard,30.5,2.0,9.5,27.5,2.5s,,34.5,41.85,6.0,1.5s,0.5s,4.0,29.5s,,2.0,3.5
Paul George,28.5,,9.0,26.5,2.5,,32.5,39.25,5.5,1.5s,0.5,3.5,28.5s,,3.5s,3.5
James Harden,20.5,,13.5,23.5,2.0,0.5s,28.5,36.55,5.0,,0.5s,4.5,18.5s,,2.5,8.5
