Name,ReboundsAssists_Line,Triple_Line,Double_Line,Assists_Line,Threes_Line,BlocksSteals_Line,Turnovers_Line,PointsRebounds_Line,Points_Line,PointsReboundsAssists_Line,Blocks_Line,PointsAssists_Line,Steals_Line,Rebounds_Line
De'Aaron Fox,11.0,,,6.0,2.5,2.5s,3.5s,31.5,27.5,37.5,0.5s,32.5,1.5s,
Domantas Sabonis,23.5,0.5s,,8.0,0.5s,1.5,2.5,37.5,21.5,45.5,0.5,29.5,0.5s,15.5s
Kyle Kuzma,11.5,,0.5s,4.5,1.5,1.5,3.0,29.5,22.5,34.5,0.5s,26.5,0.5s,7.0
Jordan Poole,7.5,,,5.0,2.5s,1.5s,2.5s,20.5,,25.5,0.5s,23.5,0.5s,
Keegan Murray,8.0,,,,1.5,1.5s,,19.5,14.0,21.5,0.5s,,0.5s,6.5
Deni Avdija,11.5,,0.5s,3.5,1.5s,1.5s,2.0,25.5,16.5,28.5,0.5s,20.5,0.5s,8.5
Harrison Barnes,,,,,1.5,0.5s,,16.5,,17.5,0.5s,,0.5,
Malik Monk,9.0,,,5.0,2.0,1.5s,1.5s,21.5,,26.5,0.5s,22.5,0.5,4.0
Keon Ellis,6.0,,,,1.5s,2.5,,,,12.5,0.5s,,1.5,3.5
Brandon Ingram,10.0,,,5.5s,0.5s,1.5,2.5,22.5,,28.5,0.5,23.5,0.5s,4.5s
Zion Williamson,10.5,,,4.5,,2.0,2.5s,28.5,22.5,33.5,0.5s,27.5,0.5s,6.0
Paolo Banchero,12.0,,,,1.5s,1.5s,2.5s,27.5,20.5,33.5,0.5s,26.5,0.5s,6.5
CJ McCollum,7.0,,,,2.5,1.5s,1.5s,19.5,,22.5,0.5s,19.5,0.5s,3.5
Jalen Suggs,5.5,,,,2.0,2.0,2.0,,,17.5,0.5s,,,3.0
Franz Wagner,8.0,,,,1.5s,1.5s,2.5s,22.5,,25.5,0.5s,20.5,0.5s,4.5
Wendell Carter Jr.,9.5,,,,1.5s,1.5s,1.5s,18.5,10.5,20.5,0.5,,0.5,7.5
Herbert Jones,5.5,,,,1.5s,2.5,1.5s,,,14.5,0.5s,,1.5,
Markelle Fultz,4.5,,,2.0,,0.5s,0.5s,7.5,,9.5,0.5s,7.5,0.5,
Jonas Valanciunas,8.5,,,,0.5s,0.5s,1.5s,14.5,8.0,16.5,0.5,9.5,0.5s,6.5
Cole Anthony,5.5,,,,0.5s,1.5s,1.5s,12.5,,14.5,0.5s,11.5,0.5s,3.0
Trey Murphy III,6.0,,,,2.5,1.5s,0.5s,16.5,,18.5,0.5s,14.5,0.5s,4.0
Jonathan Isaac,4.5,,,,0.5s,1.5s,0.5s,10.5,,11.5,1.5s,6.5,0.5,4.0
Gary Harris,2.5,,,,1.5s,1.5s,0.5s,7.5,,8.5,0.5s,7.5,0.5s,1.5
Moritz Wagner,4.5,,,,0.5s,0.5,0.5s,11.5,,12.5,0.5s,8.5,0.5s,3.5
Joe Ingles,3.5,,,2.0,0.5,0.5,0.5s,4.5,2.5s,6.5,0.5s,5.0,0.5s,1.5
Larry Nance Jr.,7.5,,,,0.5s,1.5s,0.5s,12.5,,14.5,0.5s,8.5,0.5s,5.5
Jose Alvarado,,,,1.5,0.5s,1.5s,0.5s,6.5,,8.5,0.5s,6.5,1.5s,1.5
Naji Marshall,4.5,,,1.5,0.5,1.5s,0.5s,8.5,,10.5,0.5s,7.5,0.5s,3.0
DeMar DeRozan,9.0,,,4.5,0.5s,1.5,1.5s,27.5,,32.5,0.5,27.5,0.5s,4.5
Fred VanVleet,12.0,,0.5s,8.5,2.5s,2.0,1.5s,20.5,17.5,29.5,0.5s,25.5,1.5s,3.5
Dillon Brooks,,,,,1.5s,0.5s,,15.5,,16.5,0.5s,,0.5,
Nikola Vucevic,14.5,,0.5s,,1.5s,1.5s,1.5s,31.5,19.5,33.5,0.5,21.5,0.5,12.0
Jalen Green,9.5s,,,,2.5s,1.5s,2.5s,29.5,23.5,33.5,0.5s,27.5,0.5s,6.0
Amen Thompson,11.5,,0.5s,,0.5s,2.0,1.5,21.5,12.5,24.5,0.5s,15.5,1.5s,8.5
Jabari Smith Jr.,10.0,,0.5s,,2.0,1.5,1.5s,24.5,15.5,25.5,0.5,16.5,0.5s,8.5
Ayo Dosunmu,8.5,,,4.5s,1.5s,1.5,1.5s,18.5,,23.5,0.5s,19.5,0.5s,
Giannis Antetokounmpo,17.5,,0.5s,6.0,0.5s,1.5s,3.0,42.5,30.5,48.5,0.5s,36.5,0.5s,11.5
Nic Claxton,12.5,,0.5s,,,2.5s,1.5s,20.5,10.5,23.5,1.5,13.5,0.5,9.5
Mikal Bridges,8.0,,,3.5,2.5s,1.5s,1.5,22.5,,25.5,0.5s,20.5,0.5s,4.5
Dennis Schroder,9.5,,,6.0,1.5s,1.5s,2.5,16.5,13.5,23.5,0.5s,20.5,0.5s,
Cam Thomas,7.5,,,,2.0,1.5s,2.0,26.5,,30.0,0.5s,25.5,0.5s,4.0
Luka Doncic,20.5,0.5s,,10.5,4.0,1.5s,3.5s,43.5,33.5,54.5,0.5s,44.5,1.5s,9.5
Lauri Markkanen,8.5,,,,2.5s,1.5s,1.5,29.0,21.5,30.5,0.5s,23.5,0.5s,6.5
Kyrie Irving,10.0,,,4.5s,3.0,1.5s,1.5,30.5,,35.5,0.5s,30.5,1.5s,5.0
Daniel Gafford,8.5,,,,,,,18.5,11.5,19.5,2.0,,0.5s,7.5
PJ Washington,7.0,,,,1.5,1.5s,,16.5,,17.5,0.5s,,0.5s,5.5
Derrick Jones Jr.,,,,,0.5s,0.5s,,,,10.5,0.5s,,0.5s,
Donte DiVincenzo,6.0,,,,3.5,1.5s,1.5,19.5,15.5,22.5,0.5s,18.5,1.5s,
Isaiah Hartenstein,10.5,,0.5s,,,2.0,,15.5,6.5,17.5,0.5s,,0.5s,8.5
Nikola Jokic,20.5,0.5s,0.5s,8.0,0.5s,2.5s,3.0,38.5,25.5,46.5,0.5s,33.5,1.5s,12.5
Jamal Murray,11.5,,,7.0,2.0,1.5,2.0,25.5,20.5,32.5,0.5s,27.5,1.5s,
Jalen Brunson,9.0,,,5.5,2.5s,1.5s,3.0,31.5,,37.5,0.5s,33.5,0.5s,
Aaron Gordon,9.5,,,3.0,0.5s,1.5s,1.5s,20.5,13.5,23.5,0.5s,16.5,0.5s,6.5
Michael Porter Jr.,8.5,,,,2.5,1.5s,1.5s,23.5,16.5,25.5,0.5,18.5,0.5s,6.5
Bojan Bogdanovic,3.0,,,,1.5s,0.5s,1.5s,10.5,,11.5,,8.5,0.5s,2.0
Kentavious Caldwell-Pope,,,,,1.5,1.5s,,,,13.5,0.5s,,,
Josh Hart,15.5,,0.5s,5.0,1.5s,1.5s,2.0,22.0,11.5,27.5,0.5s,16.5,1.5s,10.5
Christian Braun,4.0,,,,0.5,0.5s,0.5,8.5,,9.5,0.5s,6.5,0.5,3.0
Peyton Watson,,,,,0.5s,1.5,0.5,8.5,,9.5,0.5s,6.0,0.5,3.0
Reggie Jackson,,,,2.0,0.5s,0.5s,0.5s,6.5,,8.5,,7.5,0.5s,
Alec Burks,,,,0.5,0.5s,0.5s,0.5,7.5,,8.5,0.5s,6.5,0.5s,1.5
Kevin Durant,11.0,,,,2.5s,2.0,3.0,30.5,25.5,35.5,0.5s,29.0,0.5s,6.5
Devin Booker,11.5,,,6.5,2.5s,1.5,2.0,30.5,25.5,37.5,0.5s,32.5,0.5s,4.5
Bradley Beal,9.5,,,5.0,1.5s,1.5s,2.5s,22.5,,27.5,0.5s,22.5,1.5s,4.5
Dejounte Murray,13.5,,0.5s,8.5,3.5s,2.0,3.0,30.5,25.5,39.5,0.5s,33.5,1.5s,5.0
Clint Capela,11.5,,0.5s,,,1.5s,1.5s,21.5,11.5,23.5,0.5s,,0.5,10.5
Jusuf Nurkic,16.5,,,,,2.0,2.0,23.5,10.5,27.5,1.5s,,0.5s,12.5
Bogdan Bogdanovic,7.5,,,3.5,3.0,1.5,2.0,20.5,,25.0,0.5s,21.5,1.5s,3.5
Grayson Allen,6.0,,,,3.5,1.5s,1.5s,18.5,,21.5,0.5s,17.5,0.5s,3.5
