Name,Threes_Line,Triple_Line,BlocksSteals_Line,PointsReboundsAssists_Line,Blocks_Line,PointsRebounds_Line,PointsAssists_Line,Rebounds_Line,Assists_Line,ReboundsAssists_Line,Double_Line,Turnovers_Line,Steals_Line,Points_Line,Fantasy_Line,FT_Line
De'Aaron Fox,2.5s,,2.5,35.5,0.5s,29.5,30.5,4.5,6.0,10.5,,3.5s,2.5s,29.5s,43.35,4.0
Domantas Sabonis,0.5s,0.5s,1.5s,40.5,0.5,32.5,26.0,14.5,7.5,21.5,,2.5,0.5s,24.5s,48.35,3.0
Paolo Banchero,1.5,,1.5s,34.5,0.5s,28.5,27.5,7.5s,6.0,12.5,0.5s,3.5s,0.5s,17.5s,39.15,4.5
Jalen Suggs,2.0,,1.5,18.5,0.5s,15.5,,,,6.0,,1.5,1.5s,,,
Franz Wagner,1.5s,,1.5s,26.5,0.5s,23.5,21.5,5.0,,8.5,,2.0,0.5s,24.5s,,3.5
Wendell Carter Jr.,0.5s,,1.5s,20.5,0.5,18.5,,7.5,,,,1.5s,0.5,10.5,,
Keegan Murray,1.5,,1.5s,19.5,0.5s,17.5,,5.0,,6.5,,,0.5s,,,
Harrison Barnes,1.5,,0.5s,15.5,0.5s,,,,,,,,0.5,12.5s,,
Malik Monk,2.5s,,0.5s,24.5,0.5s,20.0,21.5,,4.5,7.5,,2.0,0.5,24.5s,,
Keon Ellis,0.5s,,2.5s,,0.5,,,,,,,,1.5,,,
Dejounte Murray,3.5s,,2.0,41.5,0.5s,32.5,35.5,6.5s,9.0,15.5,,3.5,1.5s,29.5s,48.45,3.5
Miles Bridges,1.5s,,1.5s,32.5,0.5s,28.5,23.5,8.5s,3.5,12.0,0.5s,2.5s,0.5s,23.5s,36.35,2.5
Clint Capela,,,1.5s,25.5,1.5s,,,11.5,,12.5,0.5s,,0.5,12.5,,
De'Andre Hunter,2.5s,,1.5s,26.5,0.5s,24.5,21.5,4.5,,6.0,,1.5s,0.5s,24.5s,,
Grant Williams,1.5,,1.5s,17.5,0.5s,15.5,,4.0,,6.0,,,0.5s,,,
Bogdan Bogdanovic,3.5s,,1.5,26.5,0.5s,22.5,22.5,4.0,,8.0,,2.0,1.5s,24.5s,,
Nick Richards,,,1.5,19.5,1.5s,19.5,,9.5,,10.0,0.5s,,0.5s,9.5,,
Bruno Fernando,,,1.5,15.5,0.5s,,,7.0,,8.5,,,0.5s,6.5,,
Vasilije Micic,1.5s,,0.5s,22.5,0.5s,16.5,19.5,,5.5,8.5,,2.5s,0.5s,,,
Vit Krejci,1.5s,,,14.0,0.5s,,,,,,,,0.5s,,,
Brandon Miller,2.5,,1.5,26.5,0.5,24.5,21.5,5.0,,7.5,,1.5s,0.5s,24.5s,,
Davis Bertans,2.0,,1.5s,11.5,0.5s,,,,,,,,0.5s,,,
Garrison Mathews,1.5,,0.5s,10.5,0.5s,,,,,,,,0.5s,,,
Aleksej Pokusevski,0.5,,1.5,12.5,0.5s,,,4.5,,,,,0.5s,,,
Tre Mann,1.5s,,1.5s,21.5,0.5s,17.0,16.5,,,9.5,,1.5,1.5,12.5s,,
Fred VanVleet,3.0,,2.5s,30.5,0.5,20.5,26.5,,9.0,13.0,0.5s,2.0,1.5,24.5s,40.05,
Dillon Brooks,1.5s,,1.5s,17.5,0.5s,15.5,,,,,,1.5s,1.5s,,,
Jalen Green,3.5s,,1.5,37.5,0.5s,33.5,30.5,6.0,3.5,10.0,,2.5s,1.5s,33.5s,,
John Collins,0.5s,,1.5,26.5,0.5s,25.5,17.5,9.5s,,10.5,0.5s,1.5,0.5,11.5s,,
Collin Sexton,1.5,,1.5s,31.5,0.5s,26.5,27.5,,5.0,8.5,,3.0,0.5s,29.5s,,
Amen Thompson,0.5s,,2.5,26.5,0.5s,23.5,17.5,8.5,,11.5,0.5s,1.5,1.5,14.5,,
Jabari Smith Jr.,2.0,,2.0,25.5,0.5s,24.5,16.5,8.5,,10.5,0.5s,1.5s,0.5s,19.5s,,
Taylor Hendricks,1.5,,1.5,16.5,0.5s,15.5,,6.5,,7.5,,,0.5s,9.5,,
Keyonte George,2.5,,0.5s,28.5,0.5s,23.5,24.5,4.0,5.0,9.0,,3.5,0.5s,24.5s,,
Kris Dunn,0.5,,1.5,14.5,0.5s,,,3.5,4.0,7.5,,1.5s,1.5s,,,
Jock Landale,0.5s,,2.0,16.5,1.5s,15.5,,5.5,,,,,0.5s,,,
Jeff Green,0.5s,,0.5s,11.5,0.5s,,,,,,,,0.5s,,,
Aaron Holiday,0.5s,,0.5s,,,,,,,,,,0.5,,,
Kevin Durant,2.0,,2.5s,34.5,1.5s,30.5,27.5,7.0,3.5s,10.5,0.5s,3.0,1.5s,29.5s,42.15,
Devin Booker,2.5s,,1.5,36.5,0.5s,30.5,31.5,4.5,6.0,10.5,,2.0,1.5s,25.5,43.75,
Victor Wembanyama,2.0,,5.5s,38.5,4.0,33.5,27.5,11.0,4.5s,15.5,0.5s,3.5,1.5,29.5s,56.15,
Bradley Beal,1.5,,1.5,27.5,0.5s,21.5,22.5,4.5,5.5,10.5,,2.5,1.5s,24.5s,,
Devin Vassell,2.5,,1.5s,30.5,0.5s,25.5,25.5,4.0,4.5,8.5,,1.5s,1.5s,24.5s,,
Jusuf Nurkic,,,2.0,25.5,0.5s,22.0,,11.5,3.5,15.5,0.5s,2.0,0.5s,10.5,,
Jeremy Sochan,1.5s,,1.5,23.5,0.5,20.5,16.5,7.5s,,10.0,,1.5,0.5s,13.5,,
