Name,Double_Line,BlocksSteals_Line,PointsReboundsAssists_Line,Turnovers_Line,Triple_Line,PointsRebounds_Line,Points_Line,PointsAssists_Line,Steals_Line,Assists_Line,ReboundsAssists_Line,Blocks_Line,Threes_Line,Rebounds_Line
Zion Williamson,,2.5s,37.5,2.5s,,32.5,25.5,31.5,1.5s,5.0,12.0,1.5s,,6.5
Cade Cunningham,,1.5s,32.5,3.5s,,25.5,20.5,27.5,0.5,6.5s,11.5,0.5s,1.5s,4.5
CJ McCollum,,1.5s,28.5,1.5s,,24.5,,24.5,0.5s,,8.5,0.5s,3.5s,4.0
Herbert Jones,,2.5s,18.5,1.5s,,15.5,,14.5,,,7.0,0.5s,1.5s,4.0
Jaden Ivey,,1.5s,23.5,2.5,,19.5,,20.5,0.5s,3.5,7.0,0.5s,1.5s,
Jalen Duren,0.5s,1.5,26.5,1.5s,,24.5,13.5,15.5,0.5s,,,1.5s,,11.5
Jonas Valanciunas,0.5s,1.5s,19.5,0.5s,,17.5,9.5,10.5,0.5s,1.5,10.5,0.5s,0.5s,8.5
Trey Murphy III,,1.5s,25.5,0.5s,,22.5,,20.5,1.5s,,8.0,0.5,3.5,5.0
Tosan Evbuomwan,,0.5s,15.5,,,,,,0.5s,,,0.5s,0.5s,5.0
Jose Alvarado,,1.5,15.5,1.5s,,,,,1.5s,,6.5,0.5s,1.5,3.0
Larry Nance Jr.,,1.5s,13.5,0.5s,,,,,0.5s,,7.5,0.5s,0.5s,5.5
Naji Marshall,,1.5s,15.5,0.5s,,13.5,,11.5,0.5s,,6.0,0.5s,0.5s,4.0
Kawhi Leonard,0.5s,2.5s,33.5,1.5s,,29.5,23.5,26.5,1.5s,,9.5,0.5s,1.5s,6.5s
Paul George,,2.5,32.5,1.5s,,29.5,23.5,26.5,1.5,3.5,9.5,0.5s,3.5s,6.0
Tyrese Maxey,,1.5s,35.5,2.5s,,29.5,26.5,32.5,0.5s,5.5,9.5,0.5s,3.0,3.5
James Harden,0.5s,1.5s,30.5,2.5s,,21.5,16.5,25.5,0.5s,9.0,14.5,0.5s,2.5,5.5
Tobias Harris,,1.5,26.5,1.5s,,23.5,16.5,20.5,0.5s,,10.0,0.5s,1.5s,6.5
