Name,PointsReboundsAssists_Line,Points_Line,ReboundsAssists_Line,PointsAssists_Line,Turnovers_Line,Rebounds_Line,Assists_Line,BlocksSteals_Line,Blocks_Line,Triple_Line,PointsRebounds_Line,Double_Line,Threes_Line,Steals_Line
Darius Garland,29.5,20.5,9.0,27.5,2.5,,6.5,1.5s,0.5s,,23.5,,3.0,1.5s
Jarrett Allen,31.5,17.5,14.0,20.5,1.5s,11.5,,1.5s,1.5s,,29.5,0.5s,,0.5
Miles Bridges,31.5,20.5,10.5,23.5,2.5s,7.5,,1.5s,0.5s,,28.5,,1.5s,0.5s
Caris LeVert,27.5,15.5,11.5,22.5,1.5s,5.0,6.5,1.5s,0.5s,,20.5,,1.5s,1.5s
Nick Richards,20.5,9.5,10.5,,,9.5,,1.5,0.5s,,19.5,0.5s,,0.5s
Vasilije Micic,19.5,,7.5,17.5,2.5,,5.0,0.5s,0.5s,,,,1.5s,0.5s
Tre Mann,18.5,,8.5,,1.5s,4.0,4.0,1.5,0.5s,,,,1.5s,1.5s
Isaac Okoro,15.5,,,,,,,1.5,0.5s,,,,,0.5s
Brandon Miller,24.5,,7.0,20.5,1.5s,4.0,2.5,1.5s,0.5s,,21.5,,2.5,0.5s
Jayson Tatum,40.5,26.5,13.0,32.5,2.5s,7.5,5.5,1.5s,0.5s,,34.5,0.5s,3.0,0.5s
Jaylen Brown,32.5,22.5,9.5,26.5,2.5s,6.0,,1.5s,0.5s,,28.5,,2.0,1.5s
Derrick White,25.0,14.5,10.5,20.5,1.5s,,6.0,2.5s,1.5s,,18.5,,2.5,0.5s
Dejounte Murray,39.5,25.5,14.0,33.5,3.0,5.5,8.0,2.0,0.5s,,30.5,0.5s,3.0,1.5s
Kristaps Porzingis,27.5,18.5,8.0,20.5,1.5,6.0,,2.5s,1.5,,25.5,,2.0,0.5
Clint Capela,21.5,10.5,10.5,,,10.0,,1.5s,0.5s,,20.5,0.5s,,0.5s
De'Andre Hunter,23.5,,,19.5,1.5s,,,0.5s,0.5s,,21.5,,2.0,0.5
Bogdan Bogdanovic,24.5,,7.0,21.5,1.5s,,3.5,1.5s,0.5s,,21.5,,2.5,0.5s
Vit Krejci,,,6.5,,,,3.0,0.5s,0.5s,,,,0.5s,0.5
Jalen Brunson,39.5,29.5,9.5,36.5,2.5s,3.0,6.5,1.5s,0.5s,,33.5,,2.5,1.5s
Cade Cunningham,30.5,19.5,10.5,26.5,3.0,,6.5,0.5s,0.5s,,23.5,,1.5,0.5
Jaden Ivey,20.5,,5.5,17.5,2.5,,,0.5s,0.5s,,17.5,,1.5,0.5
Josh Hart,29.5,12.5,16.5,18.5,1.5s,10.5,5.5,1.5s,0.5s,,23.5,,1.5s,1.5s
Donte DiVincenzo,24.5,,,20.5,1.5s,,,2.0,0.5s,,21.5,,3.5s,1.5
Isaiah Hartenstein,19.5,8.5,10.5,,,8.5,,2.5s,1.5s,,17.5,,,1.5s
Miles McBride,20.5,,5.5,17.5,,,,1.5s,0.5s,,16.5,,2.5,1.5s
Nic Claxton,26.5,13.5,,15.5,1.5s,11.0,,,1.5s,,24.5,,,0.5s
Mikal Bridges,28.5,,9.5,22.5,2.5s,5.5,,2.0,0.5s,,24.5,,2.5s,1.5
Dennis Schroder,25.5,14.5,10.5,21.5,3.0,3.5,6.5s,1.5,0.5s,,18.5,,1.5s,1.5s
Gary Trent Jr.,27.5,,6.5,22.5,1.5s,4.5,,1.5s,0.5s,,24.5,,3.0,1.5
Cam Thomas,33.5,,8.5,28.5,2.5,4.5,3.5,1.5s,0.5s,,29.5,,2.5s,1.5s
Kelly Olynyk,27.5,13.5,13.5,20.5,3.0,6.5,,2.0,0.5s,,20.5,0.5s,0.5s,1.5s
Gradey Dick,20.5,,6.0,16.5,1.5s,4.0,,1.5s,0.5s,,17.5,,2.0,0.5s
Ochai Agbaji,18.5,,7.5,,1.5s,5.0,,1.5s,0.5,,16.5,,1.5s,1.5s
Dorian Finney-Smith,,,8.0,11.5,1.5s,6.0,,2.0,0.5,,15.5,,1.5,1.5s
Kevin Durant,34.5,23.5,10.5,28.5,3.0,6.5,4.0,2.5,1.5s,,30.5,,2.5s,1.5s
Devin Booker,37.5,25.5,11.0,32.5,2.0,4.5,,1.5,0.5s,,30.5,,2.0,1.5s
Victor Wembanyama,37.5,22.5,14.5,26.5,3.5,10.5,4.0,5.5,4.0,,33.5,0.5s,1.5s,1.5
Bradley Beal,26.5,16.5,10.5,22.5,2.5s,,6.5,1.5s,0.5s,,20.5,,1.5s,1.5s
Jusuf Nurkic,25.5,10.5,15.0,,2.0,11.5,3.5,2.0,0.5s,,22.5,,,0.5s
Grayson Allen,19.5,,6.0,16.5,1.5s,,,1.5,0.5s,,17.5,,3.0,1.5s
Fred VanVleet,31.5,19.5,,27.5,2.0,3.5,,2.5,0.5,,23.5,0.5s,3.5,1.5
Anfernee Simons,31.5,,8.5,27.5,2.5s,3.5,4.5,0.5s,0.5s,,26.5,,3.5s,0.5
Dillon Brooks,17.5,,,,1.5s,,,1.5s,0.5s,,15.5,,1.5s,0.5s
Jalen Green,35.5,26.5,9.5,29.5,2.5s,6.0,,1.5,0.5s,,32.5,,3.5,1.5s
Deandre Ayton,33.5,19.5,13.5,20.5,2.0,12.5,,2.0,1.5s,,31.5,0.5s,,0.5s
Amen Thompson,26.5,13.5,12.5,16.5,1.5s,9.5,,2.5s,0.5s,,23.5,0.5s,0.5s,1.5
DeMar DeRozan,35.5,,10.0,30.5,1.5,4.5,5.0,1.5,0.5,,30.5,,0.5s,0.5s
Alex Caruso,18.5,,8.0,,1.5s,4.0,,2.5,0.5s,,,,2.0,1.5
Coby White,29.5,,9.5,24.5,2.0,4.5,,0.5s,0.5s,,24.5,,2.5,0.5s
Nikola Vucevic,33.5,19.5,14.0,21.5,1.5,11.5,,1.5,0.5s,,30.5,0.5s,0.5s,0.5s
Jordan Poole,30.5,20.5,9.0,26.5,2.5s,,5.5,1.5,0.5s,,24.5,,3.0,1.5s
Deni Avdija,30.5,17.5,13.0,22.5,2.5,8.5,4.5,1.5s,0.5s,,26.5,0.5s,1.5,0.5s
Ayo Dosunmu,24.5,,8.0,21.5,1.5,,,1.5,0.5s,,19.5,,1.5s,1.5s
Richaun Holmes,19.5,10.0,9.5,,,7.5,,1.5,0.5s,,17.5,,,
Corey Kispert,22.5,,6.0,19.5,1.5,3.0,,0.5s,0.5s,,20.5,,3.5s,0.5s
Luka Doncic,54.5,33.5,20.5,44.5,3.5,9.5,10.5,2.0,0.5s,0.5s,43.5,0.5s,4.0,1.5
Lauri Markkanen,32.5,22.5,,24.5,1.5,7.0,,1.5s,0.5s,,29.5,,2.5s,0.5s
Kyrie Irving,34.5,,10.0,29.5,1.5,4.5,5.0,1.5s,0.5s,,29.5,,3.5s,1.5s
Daniel Gafford,21.5,13.5,8.5,,,7.0,,3.0,2.0,,20.5,,,0.5s
PJ Washington,17.5,,7.0,,,5.5,,2.0,0.5s,,15.5,,1.5,0.5s
Keyonte George,25.5,16.5,9.5,22.5,2.5s,3.5,5.5,0.5s,0.5s,,19.5,,2.5s,0.5
