Name,Threes_Line,Rebounds_Line,ReboundsAssists_Line,PointsReboundsAssists_Line,Double_Line,Points_Line,Assists_Line
Giannis Antetokounmpo,0.5s,12.5,17.5,48.5,,29.5,5.5
Anthony Davis,0.5s,12.5,16.5,41.5,,,3.5
Damian Lillard,3.5s,4.5,11.5,,,,7.0
Khris Middleton,1.5,,10.5,,,,5.5
Brook Lopez,2.0,4.5,6.0,16.5,,,
Austin Reaves,2.5s,4.5,10.5,27.5,,,6.0
D'Angelo Russell,3.5,3.5,11.5,31.5,0.5s,19.5,
Rui Hachimura,1.5s,4.5,,19.5,,,
Malik Beasley,2.5,,4.5,14.5,,,
Stephen Curry,5.0,4.0,8.5,34.5,,,4.0
Jimmy Butler,0.5s,5.0,10.5,33.5,,22.5,5.5
Bam Adebayo,,10.5,13.5,32.5,0.5s,18.5,
Draymond Green,0.5s,8.5,14.5,22.5,,7.5,6.0
Andrew Wiggins,1.5s,4.5,6.5,,,,
Terry Rozier,1.5s,4.5,9.5,28.5,,,5.0
Patty Mills,1.5s,,,,,,
Nikola Jovic,1.5s,,,,,,
Brandin Podziemski,1.5s,5.5,8.5,17.5,,,
Jonathan Kuminga,,5.0,7.5,,,,
Shai Gilgeous-Alexander,1.5,5.5,11.5,41.5,,29.5,5.5
Zion Williamson,,7.0,,39.5,0.5s,25.5,
Chet Holmgren,1.5s,8.5,10.5,26.5,0.5s,15.5,
Jalen Williams,1.5,4.0,8.0,25.5,,,
CJ McCollum,3.5s,4.5,9.0,29.5,,,4.5
Herbert Jones,1.5s,4.0,6.5,17.5,,,
Josh Giddey,1.5s,5.5,9.5,20.5,,,4.0
Jonas Valanciunas,0.5s,8.5,10.5,21.5,0.5s,10.5,
Luguentz Dort,1.5s,3.0,,13.5,,,
Trey Murphy III,3.0,5.5,8.0,24.5,,,
Luka Doncic,3.5s,9.5,20.5,54.5,,33.5,10.5
De'Aaron Fox,2.5s,4.5,10.5,36.5,,26.5,5.5
Domantas Sabonis,0.5s,14.5,22.5,42.5,,19.5,8.5
Kyrie Irving,3.0,4.5,9.0,34.5,,,4.5
Keegan Murray,2.5s,5.5,7.0,23.5,,,1.5
Harrison Barnes,1.5s,3.0,4.0,17.5,,,
Daniel Gafford,,7.5,8.5,20.5,,11.5,
PJ Washington,1.5,5.5,6.5,17.5,,,
Keon Ellis,1.5,3.0,5.5,12.5,,,
Derrick Jones Jr.,0.5,3.0,3.5,10.5,,,
